"Time / Date",Username,Action,"List of Data Changes OR Fields Exported",Record
"2024-12-10 17:59",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 17:59",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 17:59",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 17:59",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 17:58",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 17:58",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 17:58",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 17:58",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 17:57",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 17:55",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 17:55",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 17:55",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 17:55",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-09 20:06",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-12-09 20:04",gsplmoura,"Manage/Design ","Download data dictionary",
"2024-12-09 14:54",gsplmoura,"Manage/Design ","Download data dictionary",
"2024-11-29 08:24",gsplmoura,"Manage/Design ","Approve production project modifications (automatic)",
"2024-11-29 08:24",gsplmoura,"Manage/Design ","Create project field",
"2024-11-29 08:23",gsplmoura,"Manage/Design ","Edit report (report: ""EVS"", report_id: 8948, fields: record_id, evs_days, evs_time, evs_score, phy_activity_1, phy_activity_2, phy_activity_3, exercise_vital_sign_complete)",
"2024-11-29 08:22",gsplmoura,"Manage/Design ","Create project field",
"2024-11-29 08:21",gsplmoura,"Manage/Design ","Enter draft mode",
"2024-11-29 08:21",gsplmoura,"Manage/Design ","Edit report (report: ""antropometria"", report_id: 8932, fields: record_id, height, height_chk, weight, weight_chk, abdcirc_c172954, abdcirc_c172954_chk, c124475, c124475_chk, anthro_chkerror, anthro_chk, bmi, weight_maxideal, weight_adjusted, kcal_kg20, kcal_kg22, dietaryenergy, wlkg, wl, acr_cm, acr, bmir_dec, bmir, antropometria_complete)",
"2024-11-29 08:14",gsplmoura,"Manage/Design ","Approve production project modifications (automatic)",
"2024-11-29 08:14",gsplmoura,"Manage/Design ","Create project field",
"2024-11-29 08:12",gsplmoura,"Manage/Design ","Enter draft mode",
"2024-11-28 20:59",gsplmoura,"Manage/Design ","Create report (report: ""Adesão"", report_id: 10634, fields: record_id, adhere_1, adhere_2, adhere_2_2, adhere_3, adhere_3_3, adhere_4, adhere_4_1, adhere_4_2, adhere_4_3, adhere_5, adhere_5_1, adhere_5_2, adhere_5_3, adhere_6, adhere_6_1, adhere_7, adhere_7_1, adhere_8, adhere_8_1, adhere_10, adhere_10_1, adhere_11, adhere_12, adeso_complete)",
"2024-11-28 20:44",gsplmoura,"Manage/Design ","Edit report (report: ""Recordatório Alimentar"", report_id: 10633, fields: record_id, whatmeals, totalkcal, carboidratos_v2, kcal_cho_v2, kcal_ptn_v2, kcal_lip_v2, proteina_v2, lipideos_v2, gramascho_manha_v2, gramasptn_manha_v2, gramaslip_manha_v2, gramaslip_lanchemanha_v2, gramascho_lanchemanha_v2, gramasptn_lanchemanha_v2, gramascho_almoco_v2, gramaslip_almoco_v2, gramasptn_almoco_v2, gramascho_tarde_v2, gramaslip_tarde_v2, gramasptn_tarde_v2, gramaslip_jantar_v2, gramasptn_jantar_v2, gramascho_jantar_v2, gramascho_lanchenoturno_v2, gramaslip_lanchenoturno_v2, gramasptn_lanchenoturno_v2, kcalcho_manha_v2, kcalptn_manha_v2, kcallip_manha_v2, kcaltotal_manha_v2, kcalcho_lanchemanha_v2, kcallip_lanchemanha_v2, kcalptn_lanchemanha_v2, kcaltotal_lanchemanha_v2, kcaltotal_almoco_v2, kcalcho_almoco_v2, kcallip_almoco_v2, kcalptn_almoco_v2, kcalcho_tarde_v2, kcallip_tarde_v2, kcalptn_tarde_v2, kcaltotal_tarde_v2, kcalcho_jantar_v2, kcalptn_jantar_v2, kcallip_jantar_v2, kcaltotal_jantar_v2, kcalcho_lanchenoturno_v2, kcalptn_lanchenoturno_v2, kcallip_lanchenoturno_v2, kcaltotal_lanchenoturno_v2, nutriumpdf, avaliao_da_ingesto_alimentar_complete)",
"2024-11-28 20:41",gsplmoura,"Manage/Design ","Open data query (Record: 38 Queli Cristina Basilio Ozorio, Event: 1visit, Field: nutriumpdf, Comment: ""Acho que você fez o upload do documento errado... É uma ficha de avaliador que ta aqui."")",
"2024-11-28 20:41",gsplmoura,"Manage/Design ","Open data query (Record: 38 Queli Cristina Basilio Ozorio, Event: 1visit, Field: proteina_v2, Comment: ""Mesma coisa. A soma das refeições da 222.50g. Não entendi o 342."")",
"2024-11-28 20:39",gsplmoura,"Manage/Design ","Open data query (Record: 38 Queli Cristina Basilio Ozorio, Event: 1visit, Field: carboidratos_v2, Comment: ""Aqui também não entendi... A soma de gramas de CHO das refeições da 377.25 gramas. Os 689g de CHO vieram da onde? Substituí por 377.25, no entanto, depois confere, por favor."")",
"2024-11-28 20:36",gsplmoura,"Manage/Design ","Open data query (Record: 38 Queli Cristina Basilio Ozorio, Event: 1visit, Field: lipideos_v2, Comment: ""Mari, esse valor de gramas de lipídio não faz sentido. Ta dando quase 20.000 kcal. A soma de gramas de lipídios das refeições está dando 49.23 gramas (estava 1963). Substituí por 49.23, mas depois confere, por favor."")",
"2024-11-28 20:35",gsplmoura,"Manage/Design ","Approve production project modifications (automatic)",
"2024-11-28 20:34",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:34",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:34",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:33",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:33",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:33",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:32",gsplmoura,"Manage/Design ","Edit project field",
"2024-11-28 20:32",gsplmoura,"Manage/Design ","Reorder project fields",
"2024-11-28 20:31",gsplmoura,"Manage/Design ","Enter draft mode",
"2024-11-28 20:24",gsplmoura,"Download uploaded document Record 38 Queli Cristina Basilio Ozorio",nutriumpdf,"38 Queli Cristina Basilio Ozorio"
"2024-11-28 20:22",gsplmoura,"Manage/Design ","Assign/unassign report(s) to report folder",
"2024-11-28 20:21",gsplmoura,"Manage/Design ","Create report (report: ""Recordatório Alimentar"", report_id: 10633, fields: record_id, whatmeals, totalkcal, carboidratos_v2, kcal_cho_v2, kcal_ptn_v2, kcal_lip_v2, proteina_v2, lipideos_v2, gramascho_manha_v2, gramasptn_manha_v2, gramaslip_manha_v2, gramaslip_lanchemanha_v2, gramascho_lanchemanha_v2, gramasptn_lanchemanha_v2, gramascho_almoco_v2, gramaslip_almoco_v2, gramasptn_almoco_v2, gramascho_tarde_v2, gramaslip_tarde_v2, gramasptn_tarde_v2, gramaslip_jantar_v2, gramasptn_jantar_v2, gramascho_jantar_v2, gramascho_lanchenoturno_v2, gramaslip_lanchenoturno_v2, gramasptn_lanchenoturno_v2, kcalcho_manha_v2, kcalptn_manha_v2, kcallip_manha_v2, kcaltotal_manha_v2, kcalcho_lanchemanha_v2, kcallip_lanchemanha_v2, kcalptn_lanchemanha_v2, kcaltotal_lanchemanha_v2, kcaltotal_almoco_v2, kcalcho_almoco_v2, kcallip_almoco_v2, kcalptn_almoco_v2, kcalcho_tarde_v2, kcallip_tarde_v2, kcalptn_tarde_v2, kcaltotal_tarde_v2, kcalcho_jantar_v2, kcalptn_jantar_v2, kcallip_jantar_v2, kcaltotal_jantar_v2, kcalcho_lanchenoturno_v2, kcalptn_lanchenoturno_v2, kcallip_lanchenoturno_v2, kcaltotal_lanchenoturno_v2, nutriumpdf, avaliao_da_ingesto_alimentar_complete)",
"2024-11-28 12:27",gsplmoura,"Manage/Design ","Open data query (Record: 73 Marco Antonio de Oliveira Filho, Event: 1visit, Field: smokeagestart, Comment: ""Mari, teria como confirmar isso com ele? Por aqui está como se ele tivesse começado a fumar com 2 anos de idade."")",
"2024-11-28 12:20",gsplmoura,"Manage/Design ","Assign/unassign report(s) to report folder",
"2024-11-28 12:18",gsplmoura,"Manage/Design ","Verified data value (Record: 73 Marco Antonio de Oliveira Filho, Event: 1visit, Field: evs_time, Comment: ""Ele ia caminhando para o trabalho... por isso ficou tão alto assim o tempo. Foi o maior desvio a direita."")",
"2024-11-28 12:12",gsplmoura,"Manage/Design ","Create report (report: ""Avaliação Nutricional"", report_id: 10609, fields: record_id, habitointestinal, consist_ncia, evacuacaoliquida, constipacao, laxativos, frequenciaurinaria, ingestaohidrica, quedadecabelo, avaliao_nutricional_complete)",
"2024-11-28 11:54",gsplmoura,"Manage/Design ","Open data query (Record: 56 Cristiane de Assis Ferreira, Event: 1visit, Field: grip_lh3, Comment: ""Estranho... um desvio padrão alto também. Aqui pareceu que ela tava aprendendo, pq foi aumentando. Mas na terceira visita tudo em torno de 13."")",
"2024-11-28 11:48",gsplmoura,"Manage/Design ","Verified data value (Record: 23 Francisco Emanuel da Costa, Event: 1visit, Field: grip_rh1, Comment: ""Mesmo problema.... Esse foi o maior DP - tava aprendendo a fazer. Na última visita as medidas foram bem mais próximas. Se mantivermos esse valor médio da mão direita na primeira visita, sem ajuste, vai parecer que na terceira aumentou a força."")",
"2024-11-28 11:43",gsplmoura,"Manage/Design ","Open data query (Record: 22 Patrícia Aline de Souza Queiroz, Event: 1visit, Field: grip_rh1, Comment: ""Essa participante teve o segundo desvio padrão mais alto das medidas da mão direita. Claramente na primeira medida da mão direita ela não tinha entendido direito como funcionava o teste. E isso jogou a média da mão direita muito pra baixo. Pensei em substituir este valor pela média da segunda e terceira medidas. O que o senhor acha?"")",
"2024-11-28 11:35",gsplmoura,"Manage/Design ","Edit report (report: ""Handgrip"", report_id: 8214, fields: record_id, grip_limitations, grip_rhlimitation, grip_lhlimitation, griprecentsurgery, grip_exclude, grip_surgery, grip_dominance, grip_pain, grip_rhpain, grip_lhpain, grip_procedure, grip_rh1, grip_rh2, grip_rh3, grip_rhmean, grip_rhstdev, grip_lh1, grip_lh2, grip_lh3, grip_lhmean, grip_lhstdev, grip_seemetadata, fora_de_preenso_palmar_complete, grip_rh1check, gripsw_rh1, grip_lh1check, gripsw_lh1, grip_rh2check, gripsw_rh2, grip_lh2check, gripsw_lh2, grip_rh3check, grip_lh3check)",
"2024-11-28 11:33",gsplmoura,"Manage/Design ","Verified data value (Record: 23 Francisco Emanuel da Costa, Event: 3visit, Field: grip_rh1, Comment: ""Checked! Compatível com os outros valores"")",
"2024-11-28 11:08",gsplmoura,"Manage/Design ","Open data query (Record: 49 Alvaro Francisco Briglaeodori Riul, Event: 1visit, Field: bia_axtemp, Comment: ""Mari, será que era 37.5 mesmo a temperatura? Subfebril."")",
"2024-11-28 10:31",gsplmoura,"Manage/Design ","Open data query (Record: 58 Dirceu Moisés Pereira Junior, Event: 3visit, Field: bp_c49677, Comment: ""Valor atípico. FC medida por ECG do mesmo dia de 78 bpm. Mudamos?"")",
"2024-11-28 10:30",gsplmoura,"Manage/Design ","Open data query (Record: 62 Joyce cristina Cestaro Santos, Event: 1visit, Field: bp_c49677, Comment: ""Valor atípico. FC medida por ECG no mesmo dia de 83 bpm. Mudamos pra 83?"")",
"2024-11-28 10:28",gsplmoura,"Manage/Design ","Verified data value (Record: 42 Gisele de Fátima Souza Aguiar, Event: 1visit, Field: bp_c49677, Comment: ""FC compatível com medida por ECG de 93 bpm. Valor mantido."")",
"2024-11-28 10:28",gsplmoura,"Manage/Design ","Reassign data query to other user (Record: 53 Simone Cristina Souza Bessa Barbosa, Event: 3visit, Field: bp_c60832)",
"2024-11-28 10:27",gsplmoura,"Manage/Design ","Open data query (Record: 53 Simone Cristina Souza Bessa Barbosa, Event: 3visit, Field: bp_c49677, Comment: ""Valor atípico. FC medida por ECG no mesmo dia de 85 bpm. Mudamos?"")",
"2024-11-28 10:25",gsplmoura,"Manage/Design ","Verified data value (Record: 19 Norma Olher Alves, Event: 1visit, Field: bp_c49677, Comment: ""Valor atípico, no entanto, FC medida por ECG de 47 bpm. Valor mantido."")",
"2024-11-28 10:23",gsplmoura,"Manage/Design ","Close data query (Record: 09 Alessandra Cristina Servato Ariki, Event: 1visit, Field: bp_c60832, Comment: ""Valor prévio de 89%, mas valor sem sentido. As outras medidas da pacientes foram de 95% e 98%. A FC bate com a medida pelo ECG. Portanto, mudo valor para NA."")",
"2024-11-28 10:23",gsplmoura,"Manage/Design ","Open data query (Record: 09 Alessandra Cristina Servato Ariki, Event: 1visit, Field: bp_c60832, Comment: ""Valor sem sentido"")",
"2024-11-28 10:21",gsplmoura,"Manage/Design ","Close data query (Record: 53 Simone Cristina Souza Bessa Barbosa, Event: 3visit, Field: bp_c60832, Comment: ""Tava como 85%, mas vou colocar como inválido, pq não esse valor não faz sentido, ok?"")",
"2024-11-28 10:16",gsplmoura,"Manage/Design ","Open data query (Record: 53 Simone Cristina Souza Bessa Barbosa, Event: 3visit, Field: bp_c60832, Comment: ""Será 1que não era 95? Essa medida de 85 foi um outlier. As outras dela foram 98 e 95."")",
"2024-11-18 15:30",gsplmoura,"Manage/Design ","Edit report (report: ""whoqol"", report_id: 8931, fields: record_id, wb_1, wb_2, wb_3, wb_4, wb_5, wb_6, wb_7, wb_8, wb_9, wb_10, wb_11, wb_12, wb_13, wb_14, wb_15, wb_16, wb_17, wb_18, wb_19, wb_20, wb_21, wb_22, wb_23, wb_24, wb_25, wb_26, whoqol_how, whoqol_a_v2, wb_1_score, wb_2_score, wb_physical, wb_psychological, wb_social, wb_environment, wb_upload, questionrio_qualidade_de_vida_complete)",
"2024-11-18 15:29",gsplmoura,"Manage/Design ","Edit report (report: ""whoqol"", report_id: 8931, fields: record_id, wb_1, wb_2, wb_3, wb_4, wb_5, wb_6, wb_7, wb_8, wb_9, wb_10, wb_11, wb_12, wb_13, wb_14, wb_15, wb_16, wb_17, wb_18, wb_19, wb_20, wb_21, wb_22, wb_23, wb_24, wb_25, wb_26, whoqol_how, whoqol_a_v2, wb_1_score, wb_2_score, wb_physical, wb_psychological, wb_social, wb_environment, wb_upload, questionrio_qualidade_de_vida_complete)",
"2024-11-18 14:46",gsplmoura,"Manage/Design ","Modify custom record dashboard",
"2024-11-18 14:25",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-10-29 20:03",gsplmoura,"Manage/Design ","Assign/unassign report(s) to report folder",
"2024-10-29 20:03",gsplmoura,"Manage/Design ","Assign/unassign report(s) to report folder",
"2024-10-29 20:03",gsplmoura,"Manage/Design ","Assign/unassign report(s) to report folder",
"2024-10-29 20:02",gsplmoura,"Manage/Design ","Assign/unassign report(s) to report folder",
"2024-10-29 19:44",gsplmoura,"Download uploaded document Record 74 Livia Maria Mininel Capeloci Guerreiro",ecg_upload,"74 Livia Maria Mininel Capeloci Guerreiro"
"2024-10-29 19:41",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-10-25 14:38",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-10-25 14:37",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-10-23 15:29",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-10-23 13:56",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-10-22 12:33",gsplmoura,"Manage/Design ","Edit report (report: ""TCLE"", report_id: 10159, fields: record_id, consent_c16735_yn, consent_date, consent_c16735, tcle_complete)",
"2024-10-22 12:32",gsplmoura,"Manage/Design ","Create report (report: ""TCLE"", report_id: 10159, fields: record_id, consent_c16735_yn, consent_date, consent_c16735, tcle_complete)",
"2024-10-22 11:07",gsplmoura,"Manage/Design ","Create report (report: ""Elegibility"", report_id: 10158, fields: record_id, personal_photo, date_birth, eleg_age, ubs, email, address, hood, mobile, whatsapp, mob_option, mob_hour, mob_days, phone, otherphone, otherphone_n, otherphone_2, otherphone_n2, eleg_transport, eleg_howknow, availability_limit_yn, availability_limit, sex, eleg_preg_yn, eleg_height, eleg_weight, eleg_bmi, eleg_com_yn, eleg_com_list, eleg_drugs_yn, eleg_drugs_list, eleg_fem_high, eleg_femhigh_yn, eleg_fem_low, eleg_fem_low_1, eleg2_labnotes, d_consulta_agendamento_2, eleg2_labrequest_2, eleg2_labschedule_2, eleg2_whichlab_2, eleg2_labcollect, eleg2_labchecked, eleg2_labfinding, eleg2_labex, eleg2_bhcg, eleg2_f_highrisk_2, normalcycle, contraception_ok, eleg2_contraception, tcle_sent, tcle_read, tcle_questions, tcle_questions_2, tcle_questions_3, desire_ok_2, first_visit_2, sms_agree, block_alerts_1st, eleg_date, eleg_interviewer, elegibilidade_complete)",
"2024-09-26 12:10",gsplmoura,"Manage/Design Upload alerts as CSV file ","29 alerts were added or updated.",
"2024-09-26 12:10",gsplmoura,"Manage/Design Modify alert ","Alert #29 (A-398), alert_title = 'Anotar de exames laboratoriais preenchidos', alert_type = 'EMAIL', alert_stop_type = 'RECORD_EVENT_INSTRUMENT_INSTANCE', alert_expiration = '', form_name = 'exames_laboratoriais', form_name_event = 'any', alert_condition = '[lab_coleta] <> '' and [lab_pdf] <> '' and [exames_laboratoriais_complete] <> '2'', ensure_logic_still_true = 'yes', prevent_piping_identifiers = 'no', trigger_on_instrument_save_status = 'any_status', email_from = 'gsplmoura@hcrp.usp.br', email_from_display = '', email_to = 'cpfaraco@usp.br; danilodasilvaleal4@usp.br; laura.gaudencio@usp.br; mmruy@usp.br', phone_number_to = '', email_cc = '', email_bcc = '', email_subject = 'Anotar resultados de exames laboratoriais', alert_message = 'Anote os resultados dos exames laboratoriais: [record_id]Evento: [event-label]Instância: [current-instance][form-link:exames_laboratoriais:Link para acesso]', email_failed = '', email_attachment_variable = '', email_attachment1 = '', email_attachment2 = '', email_attachment3 = '', email_attachment4 = '', email_attachment5 = '', trigger_on_every_instrument_save = 'no', email_repetitive_change = '0', email_repetitive_change_calcs = '0', cron_send_email_on = 'NOW', cron_send_email_on_date = '', cron_send_email_on_time_lag_days = '', cron_send_email_on_time_lag_hours = '', cron_send_email_on_time_lag_minutes = '', cron_send_email_on_field = '', cron_send_email_on_field_after = 'after', cron_send_email_on_next_day_type = 'DAY', cron_send_email_on_next_time = '', cron_repeat_for = '2', cron_repeat_for_units = 'DAYS', cron_repeat_for_max = '3', alert_order = '', sendgrid_template_id = '', sendgrid_template_data = '{}', sendgrid_mail_send_configuration = '{}'",
"2024-09-26 12:10",gsplmoura,"Manage/Design Modify alert ","Alert #28 (A-397), alert_title = 'Resultados de exames laboratoriais preenchidos', alert_type = 'EMAIL', alert_stop_type = 'RECORD_EVENT_INSTRUMENT_INSTANCE', alert_expiration = '', form_name = 'exames_laboratoriais', form_name_event = 'any', alert_condition = '[lab_coleta] <> '' and [c64548] <> ''', ensure_logic_still_true = 'no', prevent_piping_identifiers = 'no', trigger_on_instrument_save_status = 'any_status', email_from = 'gsplmoura@hcrp.usp.br', email_from_display = '', email_to = 'danilodasilvaleal4@usp.br; gsplmoura@usp.br; mmruy@usp.br', phone_number_to = '', email_cc = '', email_bcc = '', email_subject = 'Conferir resultados de exames laboratoriais', alert_message = 'Confira os resultados dos exames laboratoriais preenchidos: [record_id]Evento: [event-label]Instância: [current-instance][form-link:exames_laboratoriais:Link para acesso]', email_failed = '', email_attachment_variable = '', email_attachment1 = '', email_attachment2 = '', email_attachment3 = '', email_attachment4 = '', email_attachment5 = '', trigger_on_every_instrument_save = 'no', email_repetitive_change = '0', email_repetitive_change_calcs = '0', cron_send_email_on = 'NOW', cron_send_email_on_date = '', cron_send_email_on_time_lag_days = '', cron_send_email_on_time_lag_hours = '', cron_send_email_on_time_lag_minutes = '', cron_send_email_on_field = '', cron_send_email_on_field_after = 'after', cron_send_email_on_next_day_type = 'DAY', cron_send_email_on_next_time = '', cron_repeat_for = '0', cron_repeat_for_units = 'DAYS', cron_repeat_for_max = '', alert_order = '', sendgrid_template_id = '', sendgrid_template_data = '{}', sendgrid_mail_send_configuration = '{}'",
