index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
11,transport_research_center,Transporte ao centro de pesquisa,0,1,0,0,0,0,elegibility,radio,f,"1, Depende exclusivamente do transporte oferecido | 2, Se necessário pode ir por meios próprios | 3, Em todas as avaliações pode ir por meios próprios",,,,,,,,K,"data$transport_research_center.factor = factor(data$transport_research_center,levels=c(""1"",""2"",""3"")) # transport_research_center 100","levels(data$transport_research_center.factor)=c(""Depende exclusivamente do transporte oferecido"",""Se necessário pode ir por meios próprios"",""Em todas as avaliações pode ir por meios próprios"") # transport_research_center 192",eleg_transport,Transporte ao centro de pesquisa,elegibilidade,Transport to Research Center
12,research_source_info,Como soube da pesquisa?,0,1,0,0,0,0,elegibility,radio,f,"1, Anúncio público na UBS (poster, vídeo) | 2, Divulgação por meio da equipe de enfermagem da UBS | 3, Divulgação por meio do Médico da UBS | 4, Referência de outro participante | 5, Busca ativa por voluntários | 6, Outros",,,,,,,,L,"data$research_source_info.factor = factor(data$research_source_info,levels=c(""1"",""2"",""3"",""4"",""5"",""6"")) # research_source_info 102","levels(data$research_source_info.factor)=c(""Anúncio público na UBS (poster, vídeo)"",""Divulgação por meio da equipe de enfermagem da UBS"",""Divulgação por meio do Médico da UBS"",""Referência de outro participante"",""Busca ativa por voluntários"",""Outros"") # research_source_info 250",eleg_howknow,Forma como ficou sabendo da pesquisa,elegibilidade,How did you learn about the research?
13,availability_comments_yn,Limitações de disponibilidade?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,M,"data$availability_comments_yn.factor = factor(data$availability_comments_yn,levels=c(""0"",""1"")) # availability_comments_yn 94","levels(data$availability_comments_yn.factor)=c(""Não"",""Sim"") # availability_comments_yn 59",availability_limit_yn,Comentários ou limitações sobre a disponibilidade de dias / horários para comparecer ao centro de pesquisa,elegibilidade,Availability Limitations?
14,availability_comments,Comentários de disponibilidade,0,1,0,0,0,0,elegibility,notes,c,,,,,,,,,N,,,availability_limit,Comentários ou limitações sobre a disponibilidade de dias / horários para comparecer ao centro de pesquisa,elegibilidade,Availability Comments
15,sex,Sexo,1,1,0,0,0,0,elegibility,radio,f,"1, Feminino | 0, Masculino",,,,,,,Sex (NCIT: C28421),O,"data$sex.factor = factor(data$sex,levels=c(""1"",""0"")) # sex 52","levels(data$sex.factor)=c(""Feminino"",""Masculino"") # sex 49",sex,Sexo,elegibilidade,Gender
16,pregnant_nursing_yn,Grávida ou amamentando?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,[sex] = '1',,,P,"data$pregnant_nursing_yn.factor = factor(data$pregnant_nursing_yn,levels=c(""0"",""1"")) # pregnant_nursing_yn 84","levels(data$pregnant_nursing_yn.factor)=c(""Não"",""Sim"") # pregnant_nursing_yn 54",eleg_preg_yn,A candidata está grávida ou amamentando?,elegibilidade,Pregnant or Breastfeeding?
17,eleg_height,Altura (cm),0,1,0,0,0,0,elegibility,text,i,,Ex.: 178 cm,integer,,,,, @PLACEHOLDER='não utilizar decimal',Q,,,eleg_height,"Altura (cm), relatada",elegibilidade,Height (cm)
18,eleg_weight,Peso relatado (kg),0,1,0,0,0,0,elegibility,text,d,,Ex: 98.5 (ponto; 1 casa decimal),number_1dp,,,,," @PLACEHOLDER='""ponto"" + 1 decimal'",R,,,eleg_weight,"Peso (kg), relatado: ponto como separador decimal, 1 casa decimal",elegibilidade,Reported Weight (kg)
19,bmi_reported,IMC (relatado),0,1,0,0,0,0,elegibility,calc,d,"round([eleg_weight]/(([eleg_height]/100)^(2)), 1)",,,,,,, @HIDDEN,S,,,eleg_bmi,IMC (relatado),elegibilidade,Reported BMI
20,eleg_comorbidity_yn,Comorbidades?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",{eleg_com_list},,,,,,,T,"data$eleg_comorbidity_yn.factor = factor(data$eleg_comorbidity_yn,levels=c(""0"",""1"")) # eleg_comorbidity_yn 84","levels(data$eleg_comorbidity_yn.factor)=c(""Não"",""Sim"") # eleg_comorbidity_yn 54",eleg_com_yn,O candidato relata ter qualquer outro problema de saúde além da obesidade?,elegibilidade,Comorbidities?
21,comorbidity_list,Quais comorbidades?,0,1,0,0,0,0,elegibility,notes,c,,,,,,,,,U,,,eleg_com_list,Quais?,elegibilidade,Which Comorbidities?
22,drug_use_yn,Uso de medicamentos?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",{eleg_drugs_list},,,,,,,V,"data$drug_use_yn.factor = factor(data$drug_use_yn,levels=c(""0"",""1"")) # drug_use_yn 68","levels(data$drug_use_yn.factor)=c(""Não"",""Sim"") # drug_use_yn 46",eleg_drugs_yn,O candidato faz uso de algum medicamento?,elegibilidade,Medication Use?
23,drug_list,Quais medicamentos?,0,1,0,0,0,0,elegibility,notes,c,,,,,,,,,W,,,eleg_drugs_list,Quais? (liste todos),elegibilidade,Which Medications?
24,high_risk_pregnancy_ineffective_contraceptives,Alto risco de gravidez (contraceptivos ineficazes: metodo de barreira ou comportamental),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,X,"data$high_risk_pregnancy_ineffective_contraceptives.factor = factor(data$high_risk_pregnancy_ineffective_contraceptives,levels=c(""0"",""1"")) # high_risk_pregnancy_ineffective_contraceptives 138","levels(data$high_risk_pregnancy_ineffective_contraceptives.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_ineffective_contraceptives 91",eleg_fem_high___1,"A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Utilização de contraceptivos ineficazes, que incluem uso exclusivo de: método de barreia (preservativo, diafragma) ou métodos comportamentais, como temperatura corporal, percepção da ovulação pelo corrimento e calendário menstrual (tabelinha))",elegibilidade,High Risk of Pregnancy (ineffective contraceptives: barrier or behavioral methods)
25,high_risk_pregnancy_inconsistent_contraceptives,Alto risco de gravidez (Mulheres que usam contraceptivos de forma inconsistente ou incorreta;),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,Y,"data$high_risk_pregnancy_inconsistent_contraceptives.factor = factor(data$high_risk_pregnancy_inconsistent_contraceptives,levels=c(""0"",""1"")) # high_risk_pregnancy_inconsistent_contraceptives 140","levels(data$high_risk_pregnancy_inconsistent_contraceptives.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_inconsistent_contraceptives 92",eleg_fem_high___2,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres que usam contraceptivos de forma inconsistente ou incorreta;),elegibilidade,High Risk of Pregnancy (women using contraceptives inconsistently or incorrectly)
26,high_risk_pregnancy_unprotected_sex,Alto risco de gravidez (Mulheres que tiveram relações sexuais sem proteção;),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,Z,"data$high_risk_pregnancy_unprotected_sex.factor = factor(data$high_risk_pregnancy_unprotected_sex,levels=c(""0"",""1"")) # high_risk_pregnancy_unprotected_sex 116","levels(data$high_risk_pregnancy_unprotected_sex.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_unprotected_sex 80",eleg_fem_high___3,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres que tiveram relações sexuais sem proteção;),elegibilidade,High Risk of Pregnancy (women who had unprotected sex)
27,high_risk_pregnancy_infertility_treatment,Alto risco de gravidez (Mulheres que estão em tratamento para infertilidade;),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AA,"data$high_risk_pregnancy_infertility_treatment.factor = factor(data$high_risk_pregnancy_infertility_treatment,levels=c(""0"",""1"")) # high_risk_pregnancy_infertility_treatment 128","levels(data$high_risk_pregnancy_infertility_treatment.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_infertility_treatment 86",eleg_fem_high___4,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres que estão em tratamento para infertilidade;),elegibilidade,High Risk of Pregnancy (women undergoing infertility treatment)
28,high_risk_pregnancy_postpartum,Alto risco de gravidez (Mulheres no período pós-parto;),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AB,"data$high_risk_pregnancy_postpartum.factor = factor(data$high_risk_pregnancy_postpartum,levels=c(""0"",""1"")) # high_risk_pregnancy_postpartum 106","levels(data$high_risk_pregnancy_postpartum.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_postpartum 75",eleg_fem_high___5,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres no período pós-parto;),elegibilidade,High Risk of Pregnancy (women in postpartum period)
29,high_risk_pregnancy_none,Alto risco de gravidez (Nenhum destes),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AC,"data$high_risk_pregnancy_none.factor = factor(data$high_risk_pregnancy_none,levels=c(""0"",""1"")) # high_risk_pregnancy_none 94","levels(data$high_risk_pregnancy_none.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_none 69",eleg_fem_high___0,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Nenhum destes),elegibilidade,High Risk of Pregnancy (None of these)
30,high_risk_fem_noinfo,Alto risco gravidez (sem info),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AD,"data$high_risk_fem_noinfo.factor = factor(data$high_risk_fem_noinfo,levels=c(""0"",""1"")) # high_risk_fem_noinfo 86","levels(data$high_risk_fem_noinfo.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_noinfo 65",eleg_fem_high___ni,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=No information),elegibilidade,High Risk of Pregnancy (no info)
31,high_risk_fem_unknown,Alto risco gravidez (desconhecido),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AE,"data$high_risk_fem_unknown.factor = factor(data$high_risk_fem_unknown,levels=c(""0"",""1"")) # high_risk_fem_unknown 88","levels(data$high_risk_fem_unknown.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_unknown 66",eleg_fem_high___unk,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Unknown),elegibilidade,High Risk of Pregnancy (unknown)
32,high_risk_fem_notasked,Alto risco gravidez (não perguntado),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AF,"data$high_risk_fem_notasked.factor = factor(data$high_risk_fem_notasked,levels=c(""0"",""1"")) # high_risk_fem_notasked 90","levels(data$high_risk_fem_notasked.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_notasked 67",eleg_fem_high___nask,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Not asked),elegibilidade,High Risk of Pregnancy (not asked)
33,high_risk_fem_askunknown,Alto risco gravidez (não sabe),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AG,"data$high_risk_fem_askunknown.factor = factor(data$high_risk_fem_askunknown,levels=c(""0"",""1"")) # high_risk_fem_askunknown 94","levels(data$high_risk_fem_askunknown.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_askunknown 69",eleg_fem_high___asku,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Asked but unknown),elegibilidade,High Risk of Pregnancy (unknown when asked)
34,high_risk_fem_invalid,Alto risco gravidez (inválido),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AH,"data$high_risk_fem_invalid.factor = factor(data$high_risk_fem_invalid,levels=c(""0"",""1"")) # high_risk_fem_invalid 88","levels(data$high_risk_fem_invalid.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_invalid 66",eleg_fem_high___inv,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Invalid),elegibilidade,High Risk of Pregnancy (invalid)
35,high_risk_fem_na,Alto risco gravidez (não aplicável),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AI,"data$high_risk_fem_na.factor = factor(data$high_risk_fem_na,levels=c(""0"",""1"")) # high_risk_fem_na 78","levels(data$high_risk_fem_na.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_na 61",eleg_fem_high___na,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Not applicable),elegibilidade,High Risk of Pregnancy (not applicable)
36,pregnancy_test_and_contraceptive_agreement,A participante concorda em realizar teste de gravidez E utilizar método contraceptivo?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,[sex] = '1',,,AJ,"data$pregnancy_test_and_contraceptive_agreement.factor = factor(data$pregnancy_test_and_contraceptive_agreement,levels=c(""0"",""1"")) # pregnancy_test_and_contraceptive_agreement 130","levels(data$pregnancy_test_and_contraceptive_agreement.factor)=c(""Não"",""Sim"") # pregnancy_test_and_contraceptive_agreement 77",eleg_femhigh_yn,"Nestes casos, a realização de teste de gravidez é obrigatória, assim como a utilização de método contraceptivo eficaz durante o estudo. A escolha do método contraceptivo dependerá de decisão conjunta entre participante e médico. A participante concorda em realizar teste de gravidez E utilizar método contraceptivo durante o estudo?",elegibilidade,Participant agrees to pregnancy test and to use contraceptive method?
37,low_risk_pregnancy_effective_contraceptives,Baixo risco de gravidez (Uso de contraceptivos eficazes de forma consistente e correta),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AK,"data$low_risk_pregnancy_effective_contraceptives.factor = factor(data$low_risk_pregnancy_effective_contraceptives,levels=c(""0"",""1"")) # low_risk_pregnancy_effective_contraceptives 132","levels(data$low_risk_pregnancy_effective_contraceptives.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_effective_contraceptives 88",eleg_fem_low___1,"Marque todos os itens que se aplicam a candidata (choice=Uso de contraceptivos eficazes de forma consistente e correta. São considerados métodos eficazes: contraceptivos hormonais como pílulas, adesivos, injetáveis, anéis, implantes subdérmicos ou dispositivos intrauterinos)",elegibilidade,Low Risk of Pregnancy (effective contraceptives used consistently and correctly)
38,menopause,Baixo risco de gravidez (Mulheres que estão em menopausa),1,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AL,"data$menopause.factor = factor(data$menopause,levels=c(""0"",""1"")) # menopause 64","levels(data$menopause.factor)=c(""Unchecked"",""Checked"") # menopause 54",eleg_fem_low___2,Marque todos os itens que se aplicam a candidata (choice=Mulheres que estão em menopausa),elegibilidade,Low Risk of Pregnancy (menopause)
39,low_risk_pregnancy_surgical_sterilization,Baixo risco de gravidez (esterilização cirúrgica),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AM,"data$low_risk_pregnancy_surgical_sterilization.factor = factor(data$low_risk_pregnancy_surgical_sterilization,levels=c(""0"",""1"")) # low_risk_pregnancy_surgical_sterilization 128","levels(data$low_risk_pregnancy_surgical_sterilization.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_surgical_sterilization 86",eleg_fem_low___3,"Marque todos os itens que se aplicam a candidata (choice=Mulheres submetidas a cirurgias que impossibilitam a gestação: esterilização cirúrgica (ligadura tubária ou vasectomia do parceiro),  ooforectomia bilateral (retirada dos 2 ovários) ou histerectomia (retirada do útero).)",elegibilidade,Low Risk of Pregnancy (surgical sterilization)
40,low_risk_pregnancy_no_sex_6_months,Baixo risco de gravidez (Ausência de relações sexuais nos últimos 6 meses ou mais),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AN,"data$low_risk_pregnancy_no_sex_6_months.factor = factor(data$low_risk_pregnancy_no_sex_6_months,levels=c(""0"",""1"")) # low_risk_pregnancy_no_sex_6_months 114","levels(data$low_risk_pregnancy_no_sex_6_months.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_no_sex_6_months 79",eleg_fem_low___4,Marque todos os itens que se aplicam a candidata (choice=Ausência de relações sexuais nos últimos 6 meses ou mais),elegibilidade,Low Risk of Pregnancy (no sexual activity in the past 6 months or more)
41,low_risk_pregnancy_no_sex,Baixo risco de gravidez (Não tem qualquer tipo de relação sexual),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AO,"data$low_risk_pregnancy_no_sex.factor = factor(data$low_risk_pregnancy_no_sex,levels=c(""0"",""1"")) # low_risk_pregnancy_no_sex 96","levels(data$low_risk_pregnancy_no_sex.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_no_sex 70",eleg_fem_low___5,Marque todos os itens que se aplicam a candidata (choice=Não tem qualquer tipo de relação sexual),elegibilidade,Low Risk of Pregnancy (no sexual activity)
42,low_risk_pregnancy_infertility_diagnosis,Baixo risco de gravidez (Diagnóstico de infertilidade),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AP,"data$low_risk_pregnancy_infertility_diagnosis.factor = factor(data$low_risk_pregnancy_infertility_diagnosis,levels=c(""0"",""1"")) # low_risk_pregnancy_infertility_diagnosis 126","levels(data$low_risk_pregnancy_infertility_diagnosis.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_infertility_diagnosis 85",eleg_fem_low___6,Marque todos os itens que se aplicam a candidata (choice=Diagnóstico de infertilidade),elegibilidade,Low Risk of Pregnancy (infertility diagnosis)
43,low_risk_pregnancy_exclusive_homo_sexual_behavior,Baixo risco de gravidez (Comportamento sexual homoafetivo exclusivo),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AQ,"data$low_risk_pregnancy_exclusive_homo_sexual_behavior.factor = factor(data$low_risk_pregnancy_exclusive_homo_sexual_behavior,levels=c(""0"",""1"")) # low_risk_pregnancy_exclusive_homo_sexual_behavior 144","levels(data$low_risk_pregnancy_exclusive_homo_sexual_behavior.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_exclusive_homo_sexual_behavior 94",eleg_fem_low___7,Marque todos os itens que se aplicam a candidata (choice=Comportamento sexual homoafetivo exclusivo),elegibilidade,Low Risk of Pregnancy (exclusive homosexual behavior)
44,low_risk_fem_noinfo,Baixo risco gravidez (sem info),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AR,"data$low_risk_fem_noinfo.factor = factor(data$low_risk_fem_noinfo,levels=c(""0"",""1"")) # low_risk_fem_noinfo 84","levels(data$low_risk_fem_noinfo.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_noinfo 64",eleg_fem_low___ni,Marque todos os itens que se aplicam a candidata (choice=No information),elegibilidade,Low Risk of Pregnancy (no info)
45,low_risk_fem_unknown,Baixo risco gravidez (desconhecido),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AS,"data$low_risk_fem_unknown.factor = factor(data$low_risk_fem_unknown,levels=c(""0"",""1"")) # low_risk_fem_unknown 86","levels(data$low_risk_fem_unknown.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_unknown 65",eleg_fem_low___unk,Marque todos os itens que se aplicam a candidata (choice=Unknown),elegibilidade,Low Risk of Pregnancy (unknown)
46,low_risk_fem_notasked,Baixo risco gravidez (não perguntado),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AT,"data$low_risk_fem_notasked.factor = factor(data$low_risk_fem_notasked,levels=c(""0"",""1"")) # low_risk_fem_notasked 88","levels(data$low_risk_fem_notasked.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_notasked 66",eleg_fem_low___nask,Marque todos os itens que se aplicam a candidata (choice=Not asked),elegibilidade,Low Risk of Pregnancy (not asked)
47,low_risk_fem_askunknown,Baixo risco gravidez (não sabe),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AU,"data$low_risk_fem_askunknown.factor = factor(data$low_risk_fem_askunknown,levels=c(""0"",""1"")) # low_risk_fem_askunknown 92","levels(data$low_risk_fem_askunknown.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_askunknown 68",eleg_fem_low___asku,Marque todos os itens que se aplicam a candidata (choice=Asked but unknown),elegibilidade,Low Risk of Pregnancy (unknown when asked)
48,low_risk_fem_invalid,Baixo risco gravidez (inválido),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AV,"data$low_risk_fem_invalid.factor = factor(data$low_risk_fem_invalid,levels=c(""0"",""1"")) # low_risk_fem_invalid 86","levels(data$low_risk_fem_invalid.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_invalid 65",eleg_fem_low___inv,Marque todos os itens que se aplicam a candidata (choice=Invalid),elegibilidade,Low Risk of Pregnancy (invalid)
49,low_risk_fem_na,Baixo risco gravidez (não aplicável),0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,AW,"data$low_risk_fem_na.factor = factor(data$low_risk_fem_na,levels=c(""0"",""1"")) # low_risk_fem_na 76","levels(data$low_risk_fem_na.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_na 60",eleg_fem_low___na,Marque todos os itens que se aplicam a candidata (choice=Not applicable),elegibilidade,Low Risk of Pregnancy (not applicable)
50,contraceptive_continuation_agreement,A participante concorda em manter o uso contínuo e regular do método contraceptivo?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,[sex] = '1',,,AX,"data$contraceptive_continuation_agreement.factor = factor(data$contraceptive_continuation_agreement,levels=c(""0"",""1"")) # contraceptive_continuation_agreement 118","levels(data$contraceptive_continuation_agreement.factor)=c(""Não"",""Sim"") # contraceptive_continuation_agreement 71",eleg_fem_low_1,"Orientar a candidata que, nestes casos, a participante deverá manter o uso contínuo e regular do método contraceptivo  durante o estudo. A participante concorda?",elegibilidade,Participant agrees to maintain continuous and regular use of contraceptive method?
51,lab_notes,Comentários laboratoriais,0,1,0,0,0,0,elegibility,text,c,,,,,,,, @PLACEHOLDER = 'Notas',AY,,,eleg2_labnotes,Comentários,elegibilidade,Laboratory Comments
52,consultation_schedule_date,Data consulta médica,0,1,0,0,0,0,elegibility,text,D,,,date_dmy,,,,,,AZ,,,d_consulta_agendamento_2,Data da consulta médica criada no RKM para agendamento dos exames laboratoriais,elegibilidade,Medical Consultation Date
53,eleg_lab_request_date,Data solicitação exames,0,1,0,0,0,0,elegibility,text,D,,,date_dmy,,,,,,BA,,,eleg2_labrequest_2,Data em que foi feita a solicitação dos exames laboratoriais:,elegibilidade,Laboratory Request Date
54,lab_schedule_date,Data coleta agendada,0,1,0,0,0,0,elegibility,text,D,,,date_dmy,,,,,,BB,,,eleg2_labschedule_2,Data agendada para coleta,elegibilidade,Scheduled Collection Date
