variable_order,variable_original,variable_recoded,label_original,label_pt,label_en,form_name_pt,form_name_en,field_type,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Field Annotation,eleg_arm_1,1visit_arm_1,2visit_arm_1,3visit_arm_1,Variable column (Original),Included,Factor,Level_pt
11,eleg_transport,transport_research_center,Transporte ao centro de pesquisa,Transporte ao centro de pesquisa,Transport to Research Center,elegibilidade,elegibility,radio,"1, Depende exclusivamente do transporte oferecido | 2, Se necessário pode ir por meios próprios | 3, Em todas as avaliações pode ir por meios próprios",,,,,,,,1,,,,K,0,"data$transport_research_center.factor = factor(data$transport_research_center,levels=c(""1"",""2"",""3"")) # transport_research_center 100","levels(data$transport_research_center.factor)=c(""Depende exclusivamente do transporte oferecido"",""Se necessário pode ir por meios próprios"",""Em todas as avaliações pode ir por meios próprios"") # transport_research_center 192"
12,eleg_howknow,research_source_info,Forma como ficou sabendo da pesquisa,Como soube da pesquisa?,How did you learn about the research?,elegibilidade,elegibility,radio,"1, Anúncio público na UBS (poster, vídeo) | 2, Divulgação por meio da equipe de enfermagem da UBS | 3, Divulgação por meio do Médico da UBS | 4, Referência de outro participante | 5, Busca ativa por voluntários | 6, Outros",,,,,,,,1,,,,L,0,"data$research_source_info.factor = factor(data$research_source_info,levels=c(""1"",""2"",""3"",""4"",""5"",""6"")) # research_source_info 102","levels(data$research_source_info.factor)=c(""Anúncio público na UBS (poster, vídeo)"",""Divulgação por meio da equipe de enfermagem da UBS"",""Divulgação por meio do Médico da UBS"",""Referência de outro participante"",""Busca ativa por voluntários"",""Outros"") # research_source_info 250"
13,availability_limit_yn,availability_comments_yn,Comentários ou limitações sobre a disponibilidade de dias / horários para comparecer ao centro de pesquisa,Limitações de disponibilidade?,Availability Limitations?,elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,M,0,"data$availability_comments_yn.factor = factor(data$availability_comments_yn,levels=c(""0"",""1"")) # availability_comments_yn 94","levels(data$availability_comments_yn.factor)=c(""Não"",""Sim"") # availability_comments_yn 59"
14,availability_limit,availability_comments,Comentários ou limitações sobre a disponibilidade de dias / horários para comparecer ao centro de pesquisa,Comentários de disponibilidade,Availability Comments,elegibilidade,elegibility,notes,,,,,,,,,1,,,,N,0,,
15,sex,sex,Sexo,Sexo,Gender,elegibilidade,elegibility,radio,"1, Feminino | 0, Masculino",,,,,,,Sex (NCIT: C28421),1,,,,O,1,"data$sex.factor = factor(data$sex,levels=c(""1"",""0"")) # sex 52","levels(data$sex.factor)=c(""Feminino"",""Masculino"") # sex 49"
16,eleg_preg_yn,pregnant_nursing_yn,A candidata está grávida ou amamentando?,Grávida ou amamentando?,Pregnant or Breastfeeding?,elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,[sex] = '1',,,1,,,,P,0,"data$pregnant_nursing_yn.factor = factor(data$pregnant_nursing_yn,levels=c(""0"",""1"")) # pregnant_nursing_yn 84","levels(data$pregnant_nursing_yn.factor)=c(""Não"",""Sim"") # pregnant_nursing_yn 54"
17,eleg_height,relatada,"Altura (cm), relatada",Altura (cm),Height (cm),elegibilidade,elegibility,text,,Ex.: 178 cm,integer,,,,, @PLACEHOLDER='não utilizar decimal',1,,,,Q,0,,
18,eleg_weight,eleg_weight,"Peso (kg), relatado: ponto como separador decimal, 1 casa decimal",Peso relatado (kg),Reported Weight (kg),elegibilidade,elegibility,text,,Ex: 98.5 (ponto; 1 casa decimal),number_1dp,,,,," @PLACEHOLDER='""ponto"" + 1 decimal'",1,,,,R,0,,
19,eleg_bmi,bmi_reported,IMC (relatado),IMC (relatado),Reported BMI,elegibilidade,elegibility,calc,"round([eleg_weight]/(([eleg_height]/100)^(2)), 1)",,,,,,, @HIDDEN,1,,,,S,0,,
20,eleg_com_yn,eleg_comorbidity_yn,O candidato relata ter qualquer outro problema de saúde além da obesidade?,Comorbidades?,Comorbidities?,elegibilidade,elegibility,radio,"0, Não | 1, Sim",{eleg_com_list},,,,,,,1,,,,T,0,"data$eleg_comorbidity_yn.factor = factor(data$eleg_comorbidity_yn,levels=c(""0"",""1"")) # eleg_comorbidity_yn 84","levels(data$eleg_comorbidity_yn.factor)=c(""Não"",""Sim"") # eleg_comorbidity_yn 54"
21,eleg_com_list,comorbidity_list,Quais?,Quais comorbidades?,Which Comorbidities?,elegibilidade,elegibility,notes,,,,,,,,,1,,,,U,0,,
22,eleg_drugs_yn,drug_use_yn,O candidato faz uso de algum medicamento?,Uso de medicamentos?,Medication Use?,elegibilidade,elegibility,radio,"0, Não | 1, Sim",{eleg_drugs_list},,,,,,,1,,,,V,0,"data$drug_use_yn.factor = factor(data$drug_use_yn,levels=c(""0"",""1"")) # drug_use_yn 68","levels(data$drug_use_yn.factor)=c(""Não"",""Sim"") # drug_use_yn 46"
23,eleg_drugs_list,drug_list,Quais? (liste todos),Quais medicamentos?,Which Medications?,elegibilidade,elegibility,notes,,,,,,,,,1,,,,W,0,,
24,eleg_fem_high___1,high_risk_pregnancy_ineffective_contraceptives,"A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Utilização de contraceptivos ineficazes, que incluem uso exclusivo de: método de barreia (preservativo, diafragma) ou métodos comportamentais, como temperatura corporal, percepção da ovulação pelo corrimento e calendário menstrual (tabelinha))",Alto risco de gravidez (contraceptivos ineficazes: metodo de barreira ou comportamental),High Risk of Pregnancy (ineffective contraceptives: barrier or behavioral methods),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,X,0,"data$high_risk_pregnancy_ineffective_contraceptives.factor = factor(data$high_risk_pregnancy_ineffective_contraceptives,levels=c(""0"",""1"")) # high_risk_pregnancy_ineffective_contraceptives 138","levels(data$high_risk_pregnancy_ineffective_contraceptives.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_ineffective_contraceptives 91"
25,eleg_fem_high___2,high_risk_pregnancy_inconsistent_contraceptives,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres que usam contraceptivos de forma inconsistente ou incorreta;),Alto risco de gravidez (Mulheres que usam contraceptivos de forma inconsistente ou incorreta;),High Risk of Pregnancy (women using contraceptives inconsistently or incorrectly),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,Y,0,"data$high_risk_pregnancy_inconsistent_contraceptives.factor = factor(data$high_risk_pregnancy_inconsistent_contraceptives,levels=c(""0"",""1"")) # high_risk_pregnancy_inconsistent_contraceptives 140","levels(data$high_risk_pregnancy_inconsistent_contraceptives.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_inconsistent_contraceptives 92"
26,eleg_fem_high___3,high_risk_pregnancy_unprotected_sex,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres que tiveram relações sexuais sem proteção;),Alto risco de gravidez (Mulheres que tiveram relações sexuais sem proteção;),High Risk of Pregnancy (women who had unprotected sex),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,Z,0,"data$high_risk_pregnancy_unprotected_sex.factor = factor(data$high_risk_pregnancy_unprotected_sex,levels=c(""0"",""1"")) # high_risk_pregnancy_unprotected_sex 116","levels(data$high_risk_pregnancy_unprotected_sex.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_unprotected_sex 80"
27,eleg_fem_high___4,high_risk_pregnancy_infertility_treatment,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres que estão em tratamento para infertilidade;),Alto risco de gravidez (Mulheres que estão em tratamento para infertilidade;),High Risk of Pregnancy (women undergoing infertility treatment),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AA,0,"data$high_risk_pregnancy_infertility_treatment.factor = factor(data$high_risk_pregnancy_infertility_treatment,levels=c(""0"",""1"")) # high_risk_pregnancy_infertility_treatment 128","levels(data$high_risk_pregnancy_infertility_treatment.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_infertility_treatment 86"
28,eleg_fem_high___5,high_risk_pregnancy_postpartum,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Mulheres no período pós-parto;),Alto risco de gravidez (Mulheres no período pós-parto;),High Risk of Pregnancy (women in postpartum period),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AB,0,"data$high_risk_pregnancy_postpartum.factor = factor(data$high_risk_pregnancy_postpartum,levels=c(""0"",""1"")) # high_risk_pregnancy_postpartum 106","levels(data$high_risk_pregnancy_postpartum.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_postpartum 75"
29,eleg_fem_high___0,high_risk_pregnancy_none,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Nenhum destes),Alto risco de gravidez (Nenhum destes),High Risk of Pregnancy (None of these),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AC,0,"data$high_risk_pregnancy_none.factor = factor(data$high_risk_pregnancy_none,levels=c(""0"",""1"")) # high_risk_pregnancy_none 94","levels(data$high_risk_pregnancy_none.factor)=c(""Unchecked"",""Checked"") # high_risk_pregnancy_none 69"
30,eleg_fem_high___ni,high_risk_fem_noinfo,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=No information),Alto risco gravidez (sem info),High Risk of Pregnancy (no info),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AD,0,"data$high_risk_fem_noinfo.factor = factor(data$high_risk_fem_noinfo,levels=c(""0"",""1"")) # high_risk_fem_noinfo 86","levels(data$high_risk_fem_noinfo.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_noinfo 65"
31,eleg_fem_high___unk,high_risk_fem_unknown,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Unknown),Alto risco gravidez (desconhecido),High Risk of Pregnancy (unknown),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AE,0,"data$high_risk_fem_unknown.factor = factor(data$high_risk_fem_unknown,levels=c(""0"",""1"")) # high_risk_fem_unknown 88","levels(data$high_risk_fem_unknown.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_unknown 66"
32,eleg_fem_high___nask,high_risk_fem_notasked,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Not asked),Alto risco gravidez (não perguntado),High Risk of Pregnancy (not asked),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AF,0,"data$high_risk_fem_notasked.factor = factor(data$high_risk_fem_notasked,levels=c(""0"",""1"")) # high_risk_fem_notasked 90","levels(data$high_risk_fem_notasked.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_notasked 67"
33,eleg_fem_high___asku,high_risk_fem_askunknown,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Asked but unknown),Alto risco gravidez (não sabe),High Risk of Pregnancy (unknown when asked),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AG,0,"data$high_risk_fem_askunknown.factor = factor(data$high_risk_fem_askunknown,levels=c(""0"",""1"")) # high_risk_fem_askunknown 94","levels(data$high_risk_fem_askunknown.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_askunknown 69"
34,eleg_fem_high___inv,high_risk_fem_invalid,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Invalid),Alto risco gravidez (inválido),High Risk of Pregnancy (invalid),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AH,0,"data$high_risk_fem_invalid.factor = factor(data$high_risk_fem_invalid,levels=c(""0"",""1"")) # high_risk_fem_invalid 88","levels(data$high_risk_fem_invalid.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_invalid 66"
35,eleg_fem_high___na,high_risk_fem_na,A candidata apresenta algum dos critérios de alto risco de gravidez? (choice=Not applicable),Alto risco gravidez (não aplicável),High Risk of Pregnancy (not applicable),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AI,0,"data$high_risk_fem_na.factor = factor(data$high_risk_fem_na,levels=c(""0"",""1"")) # high_risk_fem_na 78","levels(data$high_risk_fem_na.factor)=c(""Unchecked"",""Checked"") # high_risk_fem_na 61"
36,eleg_femhigh_yn,pregnancy_test_and_contraceptive_agreement,"Nestes casos, a realização de teste de gravidez é obrigatória, assim como a utilização de método contraceptivo eficaz durante o estudo. A escolha do método contraceptivo dependerá de decisão conjunta entre participante e médico. A participante concorda em realizar teste de gravidez E utilizar método contraceptivo durante o estudo?",A participante concorda em realizar teste de gravidez E utilizar método contraceptivo?,Participant agrees to pregnancy test and to use contraceptive method?,elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,[sex] = '1',,,1,,,,AJ,0,"data$pregnancy_test_and_contraceptive_agreement.factor = factor(data$pregnancy_test_and_contraceptive_agreement,levels=c(""0"",""1"")) # pregnancy_test_and_contraceptive_agreement 130","levels(data$pregnancy_test_and_contraceptive_agreement.factor)=c(""Não"",""Sim"") # pregnancy_test_and_contraceptive_agreement 77"
37,eleg_fem_low___1,low_risk_pregnancy_effective_contraceptives,"Marque todos os itens que se aplicam a candidata (choice=Uso de contraceptivos eficazes de forma consistente e correta. São considerados métodos eficazes: contraceptivos hormonais como pílulas, adesivos, injetáveis, anéis, implantes subdérmicos ou dispositivos intrauterinos)",Baixo risco de gravidez (Uso de contraceptivos eficazes de forma consistente e correta),Low Risk of Pregnancy (effective contraceptives used consistently and correctly),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AK,0,"data$low_risk_pregnancy_effective_contraceptives.factor = factor(data$low_risk_pregnancy_effective_contraceptives,levels=c(""0"",""1"")) # low_risk_pregnancy_effective_contraceptives 132","levels(data$low_risk_pregnancy_effective_contraceptives.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_effective_contraceptives 88"
38,eleg_fem_low___2,menopause,Marque todos os itens que se aplicam a candidata (choice=Mulheres que estão em menopausa),Baixo risco de gravidez (Mulheres que estão em menopausa),Low Risk of Pregnancy (menopause),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AL,1,"data$menopause.factor = factor(data$menopause,levels=c(""0"",""1"")) # menopause 64","levels(data$menopause.factor)=c(""Unchecked"",""Checked"") # menopause 54"
39,eleg_fem_low___3,low_risk_pregnancy_surgical_sterilization,"Marque todos os itens que se aplicam a candidata (choice=Mulheres submetidas a cirurgias que impossibilitam a gestação: esterilização cirúrgica (ligadura tubária ou vasectomia do parceiro),  ooforectomia bilateral (retirada dos 2 ovários) ou histerectomia (retirada do útero).)",Baixo risco de gravidez (esterilização cirúrgica),Low Risk of Pregnancy (surgical sterilization),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AM,0,"data$low_risk_pregnancy_surgical_sterilization.factor = factor(data$low_risk_pregnancy_surgical_sterilization,levels=c(""0"",""1"")) # low_risk_pregnancy_surgical_sterilization 128","levels(data$low_risk_pregnancy_surgical_sterilization.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_surgical_sterilization 86"
40,eleg_fem_low___4,low_risk_pregnancy_no_sex_6_months,Marque todos os itens que se aplicam a candidata (choice=Ausência de relações sexuais nos últimos 6 meses ou mais),Baixo risco de gravidez (Ausência de relações sexuais nos últimos 6 meses ou mais),Low Risk of Pregnancy (no sexual activity in the past 6 months or more),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AN,0,"data$low_risk_pregnancy_no_sex_6_months.factor = factor(data$low_risk_pregnancy_no_sex_6_months,levels=c(""0"",""1"")) # low_risk_pregnancy_no_sex_6_months 114","levels(data$low_risk_pregnancy_no_sex_6_months.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_no_sex_6_months 79"
41,eleg_fem_low___5,low_risk_pregnancy_no_sex,Marque todos os itens que se aplicam a candidata (choice=Não tem qualquer tipo de relação sexual),Baixo risco de gravidez (Não tem qualquer tipo de relação sexual),Low Risk of Pregnancy (no sexual activity),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AO,0,"data$low_risk_pregnancy_no_sex.factor = factor(data$low_risk_pregnancy_no_sex,levels=c(""0"",""1"")) # low_risk_pregnancy_no_sex 96","levels(data$low_risk_pregnancy_no_sex.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_no_sex 70"
42,eleg_fem_low___6,low_risk_pregnancy_infertility_diagnosis,Marque todos os itens que se aplicam a candidata (choice=Diagnóstico de infertilidade),Baixo risco de gravidez (Diagnóstico de infertilidade),Low Risk of Pregnancy (infertility diagnosis),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AP,0,"data$low_risk_pregnancy_infertility_diagnosis.factor = factor(data$low_risk_pregnancy_infertility_diagnosis,levels=c(""0"",""1"")) # low_risk_pregnancy_infertility_diagnosis 126","levels(data$low_risk_pregnancy_infertility_diagnosis.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_infertility_diagnosis 85"
43,eleg_fem_low___7,low_risk_pregnancy_exclusive_homo_sexual_behavior,Marque todos os itens que se aplicam a candidata (choice=Comportamento sexual homoafetivo exclusivo),Baixo risco de gravidez (Comportamento sexual homoafetivo exclusivo),Low Risk of Pregnancy (exclusive homosexual behavior),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AQ,0,"data$low_risk_pregnancy_exclusive_homo_sexual_behavior.factor = factor(data$low_risk_pregnancy_exclusive_homo_sexual_behavior,levels=c(""0"",""1"")) # low_risk_pregnancy_exclusive_homo_sexual_behavior 144","levels(data$low_risk_pregnancy_exclusive_homo_sexual_behavior.factor)=c(""Unchecked"",""Checked"") # low_risk_pregnancy_exclusive_homo_sexual_behavior 94"
44,eleg_fem_low___ni,low_risk_fem_noinfo,Marque todos os itens que se aplicam a candidata (choice=No information),Baixo risco gravidez (sem info),Low Risk of Pregnancy (no info),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AR,0,"data$low_risk_fem_noinfo.factor = factor(data$low_risk_fem_noinfo,levels=c(""0"",""1"")) # low_risk_fem_noinfo 84","levels(data$low_risk_fem_noinfo.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_noinfo 64"
45,eleg_fem_low___unk,low_risk_fem_unknown,Marque todos os itens que se aplicam a candidata (choice=Unknown),Baixo risco gravidez (desconhecido),Low Risk of Pregnancy (unknown),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AS,0,"data$low_risk_fem_unknown.factor = factor(data$low_risk_fem_unknown,levels=c(""0"",""1"")) # low_risk_fem_unknown 86","levels(data$low_risk_fem_unknown.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_unknown 65"
46,eleg_fem_low___nask,low_risk_fem_notasked,Marque todos os itens que se aplicam a candidata (choice=Not asked),Baixo risco gravidez (não perguntado),Low Risk of Pregnancy (not asked),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AT,0,"data$low_risk_fem_notasked.factor = factor(data$low_risk_fem_notasked,levels=c(""0"",""1"")) # low_risk_fem_notasked 88","levels(data$low_risk_fem_notasked.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_notasked 66"
47,eleg_fem_low___asku,low_risk_fem_askunknown,Marque todos os itens que se aplicam a candidata (choice=Asked but unknown),Baixo risco gravidez (não sabe),Low Risk of Pregnancy (unknown when asked),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AU,0,"data$low_risk_fem_askunknown.factor = factor(data$low_risk_fem_askunknown,levels=c(""0"",""1"")) # low_risk_fem_askunknown 92","levels(data$low_risk_fem_askunknown.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_askunknown 68"
48,eleg_fem_low___inv,low_risk_fem_invalid,Marque todos os itens que se aplicam a candidata (choice=Invalid),Baixo risco gravidez (inválido),Low Risk of Pregnancy (invalid),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AV,0,"data$low_risk_fem_invalid.factor = factor(data$low_risk_fem_invalid,levels=c(""0"",""1"")) # low_risk_fem_invalid 86","levels(data$low_risk_fem_invalid.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_invalid 65"
49,eleg_fem_low___na,low_risk_fem_na,Marque todos os itens que se aplicam a candidata (choice=Not applicable),Baixo risco gravidez (não aplicável),Low Risk of Pregnancy (not applicable),elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,,,,1,,,,AW,0,"data$low_risk_fem_na.factor = factor(data$low_risk_fem_na,levels=c(""0"",""1"")) # low_risk_fem_na 76","levels(data$low_risk_fem_na.factor)=c(""Unchecked"",""Checked"") # low_risk_fem_na 60"
50,eleg_fem_low_1,contraceptive_continuation_agreement,"Orientar a candidata que, nestes casos, a participante deverá manter o uso contínuo e regular do método contraceptivo  durante o estudo. A participante concorda?",A participante concorda em manter o uso contínuo e regular do método contraceptivo?,Participant agrees to maintain continuous and regular use of contraceptive method?,elegibilidade,elegibility,radio,"0, Não | 1, Sim",,,,,[sex] = '1',,,1,,,,AX,0,"data$contraceptive_continuation_agreement.factor = factor(data$contraceptive_continuation_agreement,levels=c(""0"",""1"")) # contraceptive_continuation_agreement 118","levels(data$contraceptive_continuation_agreement.factor)=c(""Não"",""Sim"") # contraceptive_continuation_agreement 71"
51,eleg2_labnotes,lab_notes,Comentários,Comentários laboratoriais,Laboratory Comments,elegibilidade,elegibility,text,,,,,,,, @PLACEHOLDER = 'Notas',1,,,,AY,0,,
52,d_consulta_agendamento_2,consultation_schedule_date,Data da consulta médica criada no RKM para agendamento dos exames laboratoriais,Data consulta médica,Medical Consultation Date,elegibilidade,elegibility,text,,,date_dmy,,,,,,1,,,,AZ,0,,
53,eleg2_labrequest_2,eleg_lab_request_date,Data em que foi feita a solicitação dos exames laboratoriais:,Data solicitação exames,Laboratory Request Date,elegibilidade,elegibility,text,,,date_dmy,,,,,,1,,,,BA,0,,
54,eleg2_labschedule_2,lab_schedule_date,Data agendada para coleta,Data coleta agendada,Scheduled Collection Date,elegibilidade,elegibility,text,,,date_dmy,,,,,,1,,,,BB,0,,
