,Level,Freq,Percent,
85,Classificação,Musculoesquelético/Tecido Conjuntivo,4,8
86,Classificação,Neurologia,4,8
87,Classificação,Outros,4,8
88,Classificação,Psiquiátrico,4,8
89,Classificação,Pulmonar/Trato Respiratório Superior,1,2
90,Classificação,Renal/Geniturinário,1,2
91,Classificação,Vascular,1,2
92,Grau,1 Mild AE,32,64
93,Grau,2 Moderate AE,14,28
94,Grau,3 Severe AE,2,4
95,Grau,NA,2,4
96,Atribuição de causalidade,Definitivo,1,2
97,Atribuição de causalidade,Improvável,15,30
98,Atribuição de causalidade,Não Relacionado,19,38
99,Atribuição de causalidade,Possível,12,24
100,Atribuição de causalidade,Provável,1,2
101,Atribuição de causalidade,NA,2,4
102,Ação Realizada,Nenhuma,46,92
103,Ação Realizada,Terapia Interrompida,2,4
104,Ação Realizada,NA,2,4
105,Seguimento,1. Resolvido,37,74
106,Seguimento,3. Não resolvido,6,12
107,Seguimento,NA,7,14
108,Descrição,"04 a 07/10/23: ""estou muito ressecada por mais que minha alimentação está correta .comendo muitas frutas estou muito ressecada",1,2
109,Descrição,"22/09/23  Participante com antecedente de transtorno de ansiedade e depressão, com histórico de uso de bupropiona e imipramina. Relata ter suspendido o tratamento há 1 ano, sem supervisão médica, por estar, naquele momento, sem acesso a psiquiatra e com dificuldade de acesso a receita. Desde então, relata ganho de peso de 8 kg, que relaciona ao aumento da ingestão de doces e outros alimentos em geral. Na primeira avaliação como participante da pesquisa recebeu orientação nutricional e plano nutricional, tendo realizado mudança radical no comportamento alimentar após a primeira avaliação.  Relata que após alguns dias percebeu labilidade de humor e irritação. Conversou com o médico da assistência primária de saúde, que orientou a participante a retornar o uso da bupropiona.   Tendo em vista a história clínica, fica evidente que após a suspensão dos medicamentos prévios de forma súbita, a paciente apresentou quadro intenso de ganho de peso associado a aumento da ingestão energética, o que possivelmente configura descompensação do quadro ansioso de base. Após o início da participação na pesquisa, é provável que a mudança radical do comportamento alimentar, que no último ano teve caráter compesatório, teve impacto na estabilidade do humor.   Desta forma, oriento a participante a tentar encarar o plano alimentar de uma forma menor rigorosa e entender que o mais saudável é que a mudança para um padrão alimentar mais saudável seja feita de forma gradual, evitando à tendência ao perfeccionismo e tentativa exaustiva de controlar a ingestão alimentar.   Programo contato semanal para seguimento.    30/09/23 - Follow-up:  Entro em contato com a participante, que relata resolução das queixas. Nega desconforto emocional.",1,2
110,Descrição,"27/11/23 a 18/12/23: ""Percebi que depois de tomar as cápsulas tenho tido refluxo, e parece que o gosto das cápsulas volta na boca"". Participante com hérnia de hiato, DRGE e histórico de esofagite, relata que durante 3 semanas, 1 minuto após a ingestão das cápsulas, sentia um gosto típico de ""erva"" na boca. No entanto, nega queixas de refluxo, queimação retroesternal e desconforto gástrico. Relata o quadro regrediu quase completamente, e nunca gerou incômodo.",1,2
111,Descrição,"A participante relata ter apresentado sintomas gripais com início por volta de 03/08/2024, período em que uma colega de trabalho foi diagnosticada com COVID-19. Realizou o primeiro teste de COVID logo em seguida, com resultado negativo. Relata que todos os co-habitantes também contraíram quadros gripais, embora de forma mais leve. Aproximadamente 10 a 14 dias após o início dos sintomas, desenvolveu um quadro de dispneia, levando à procura por atendimento médico de urgência e subsequente internação hospitalar. Foi internada em 29/08/2024 com diagnóstico de pneumonia bacteriana secundária à infecção por COVID-19, confirmada por PCR.  Durante a internação, apresentou saturação de oxigênio em ar ambiente de 95%, com dessaturação aos esforços, necessitando de oxigênio suplementar via cateter nasal por dois dias. Recebeu tratamento com antibiótico endovenoso (clavulin) e, após cinco dias de internação, recebeu alta em 03/09/2024 com prescrição de levofloxacino oral por 14 dias, corticosteróide oral e beta-2 agonista inalatório.  Aproximadamente em 19/08/2024, relata ter suspendido por conta própria o uso do medicamento do estudo, cerca de 10 dias antes da internação. Em contato realizado em 10/09/2024 para atualização do quadro clínico, relatou ainda não estar completamente recuperada, permanecendo em uso de salbutamol inalatório e corticosteróide devido a episódios de broncoespasmo. Retomou o uso do primeiro frasco de medicamento em 16/09/2024, quando ainda tinha 42 cápsulas no primeiro frasco, após liberação do pneumologista.  Hoje, 23/10/2024, retorna para a segunda avaliação. Relata ter feito uso apenas do primeiro frasco do medicamento do estudo (metade da dose prevista), com interrupções ou redução da dose em alguns períodos. Usou as cápsulas até 22/10/2024, e desde então está sem o medicamento. Informou que suspendeu o uso do beta-2 agonista há uma semana e que atualmente está bem, sem sintomas respiratórios, em seguimento com pneumologista.",1,2
112,Descrição,"Aproximadamente 10 dias após à inclusão no estudo (21/06/2024), a participante relata que iniciou com quadro de febre e tosse. Procurou pronto atendimento, tendo sido diagnosticada com pneumonia por H1N1 após realização de Rx-tórax e teste rápido viral. Relata que fez uso de antibiótico, xarope para tosse, dipirona e paracetamol. Ficou 10 dias afastada do serviço devido ao quadro infeccioso. Relata que aproximadamente 5 dias após o início do tratamento já se sentia melhor. No entanto, a tosse persistiu por aproximadamente um mês.",1,2
113,Descrição,"Após a primeira visita ao centro de pesquisa, diversas tentativas de contato com a paciente falharam. No entanto, hoje a participante retornou o contato. Disse que passou por alguns problemas pessoais e passou por uma cirurgia oftalmológica eletiva. Relata que teve uma piora do quadro depressivo de base e que ficou um período em isolamento social.   No entanto, relata que deseja retomar o estudo. Checo exames laboratoriais recentes, sem alterações excludentes.   Oriento participante a iniciar a intervenção e programo coleta de exames e visita do D45.",1,2
114,Descrição,"Desde a queimada ocorrida na cidade em 24/08/24, a participante relata quadro agudo de sinusite, tendo feito uso de naldecon, dipirona 1g. Relata quadro de cefaleia, mal estar e obstrução nasal. Relata melhora progressiva do quadro desde então. Não fez uso de antibiótico.",1,2
115,Descrição,"Ela e as três filhas tiveram dengue no início do mês. Relata ter suspendido por conta própria o uso da intervenção entre as datas de 05 a 15 de abril de 2024, tendo retornado com o uso a partir do dia 16. Relata ter passado em pronto atendimento para hidratação e orientação médica.",1,2
116,Descrição,"Foi em um médico substituto dia 11/10/23 que trocou o glifage XR 850 mg 3x/d por glifage 500 mg 2 cp 2 vezes ao dia. Em adição, suspendeu o omeprazol e desde então tem relatado dor epigástrica pós prandial. A dor epigástrica se iniciou 6 dias após a suspensão do omeprazol.  22/12/23: Reavaliação - realmente ficou sem o omeprazol mas teve resolução espontânea da epigastralgia",1,2
117,Descrição,Nausea,1,2
118,Descrição,"No final do mês de novembro relata ter sentido adinamia, sonolência, empanzinamento e azia, que duraram por volta de 3 dias e melhoram espontaneamente. Aproximadamente uma semana após o início dos sintomas, relata ter apresentado fezes com coloração mais escura que o habitual e aumento da frequência evacuatória (em torno de 5 episódios ao dia - o habitual é em torno de 3), com fezes com consistência normal. Nega aspecto de borra de café, sangramento vivo ou odor fétido. Relata ter ficado preocupada com o quadro, com medo de ter apresentado sangramento digestivo. Relata que os sintomas persistiram por volta de 3 dias, e depois melhoraram espontanemanete. Alguns dias após o quadro, realizou uma EDA (Endoscopia Digestiva Alta) que já estava marcada para seguimento de H. pylori, que não evidenciou alterações (SIC). Solicito que me encaminhe o laudo.",1,2
119,Descrição,"Paciente com DIU desde outubro de 2022. Relata que no último ano antes de ter iniciado o estudo, não apresentava episódios de sangramento menstrual. Iniciou a intervenção no dia 20/03/24 e relata que no final do mesmo mês apresentou episódio de sangramento menstrual que durou em torno de 4 dias, com volume habitual. Em torno do dia 28/04/24 apresentou segundo episódio de sangramento menstrual, que durou 4 dias, com volume aumentado. Relata ainda que o último episódio foi associado a cólica menstrual, o que não era habitual mesmo antes da implantação do DIU.",1,2
120,Descrição,"Paciente com diagnóstico de fibromialgia não tratada com medicamento de uso contínuo. Iniciou a intervenção em 23-11-2023, e 8 dias após o início relatou nucalgia, com dor do tipo pressão, de intensidade 3/10, que durou aproximadamente uma semana. Paciente acredita que as dores estavam associados com problemas familiares, estresse e cobrança. As dores melhoraram espontaneamente.",1,2
121,Descrição,"Paciente com quadro de fibromialgia, fasciíte plantar e dor no ombro direito aguardando avaliação da ortopedia. Na inclusão do estudo, já queixava de dor no ombro direito e no pé direito, que, naquele momento, tinha aproximadamente 4 meses de evolução e escala de dor 9/10. Retorna hoje para a avaliação dos 45 dias, relatando que nas últimas semanas a dor tem sido de   intensidade 10/10, associado a sensação de tensão no ombro. Em uso apenas de dipirona 500 mg de 6/6 horas.  Prescrevo dipirona 1000 mg de 6/6 horas; paracetamol 750 mg de 6/6 horas, intercalado com a dipirona, se necessário; ciclobenzaprina 10 mg a noite, por 14 dias.",1,2
122,Descrição,"Paciente havia retornado com o uso das cápsulas em 15/01. Relata ter feito uso conforme orientado até aproximadamente o final de fevereiro. No início do mês de março, relata que a rotina de trabalho e estudo aumentou consideravalmente, e por isso motivo começou a pular doses das cápsulas. As vezes tomava uma única dose por dia, e as vezes ficava um dia ou mais de um dia sem tomar. Aproximadamente no meio do mês de março relata ter percebido piora importante do quadro de ansiedade, com predomínio noturno, associado a insônia. Relata que apresentava períodos de taquicardia, sudorese, dispneia. Relata que após aproximadamente 30 minutos o quadro melhorava espontanemanete na maioria das vezes. Quando não melhora, ela fazia uso de um comprimido sublingual de rivotril. Os quadros ocorriam em torno de 3 vezes na semana. Aproximadamente no mesmo período abandonou o das cápsulas. Desta forma, está há aproximadamente 20 dias sem tomar nenhuma cápsula.   Relata ter estes episódios de crise de ansiedade e pânico há aproximadamente 12 anos. Quando era mais nova os episódios tinham a mesma característica, mas eram mais intensos.",1,2
123,Descrição,"Paciente havia suspendido uso de bupropiona há aproximadamente um ano. Dois dias antes de iniciar o estudo, relata que havia retornado o uso da bupropiona 150 mg/dia por indicação médica, já que se sentia ansiosa, irritada e chorosa. Hoje relata que há 8 dias passou em consulta de rotina na UBS e foi aumentado a dose para 300 mg/dia. Relata que o que motivou o aumento foi a persistência dos sintomas. Após perguntar com mais detalhes a participante se abre e compartilha diversas dificuldades familiares desde que a irmã faleceu há 2 anos, com discussões na família. Queixa ainda de dificuldade financeira.",1,2
124,Descrição,"Paciente iniciou quadro de dor epigástrica há aproximadamente 2 anos, tendo sido tratada empiricamente com IBP na UBS. No início de 2023, a dor começou a aumentar, o que motivou realização de EDA em junho de 2023. Neste exame, relata ter sido constatado H. pylori e gastrite. Foi prescrito então tratamento para H. pylori. Quando iniciou o estudo há 3 meses, relata que tinha terminado o tratamento para H. pylori aproximadamente 45 dias antes. No entanto, não fez exame de controle para confirmar erradicação do H. pylori. Na primeira avaliação do estudo, já queixava de dor epigástrica, com queixa que persistiu na avaliação dos 45 dias, bem como hoje. A dor motivou nova EDA no dia 22/01/24, ainda sem resultado de biópsia, mas que apresentava, segundo ela, gastrite. Relata que desde o início do estudo, não houve nem melhora nem piora do quadro.  Relata uso irregular de IBP. Não sabe quando foi o último momento em que fez uso contínuo de IBP, mas lembra-se que no ano de 2023, não chegou a fazer uso contínuo, à excessão do período do tratamento do H. pylori. Relata ter feito USG de abdome para investigação de patologia biliar, com resultado negativo (SIC).  Ultimamente, relata dor epigástrica de forte intensidade, que ocasionalmente irradia para o dorso, em pontada. Quando questionada sobre a associação da dor com a alimentação, não sabe relatar ao certo se existe alguma relação. Não identifica um padrão alimentar (ou jejum) que se associe com melhora ou piora da dor. Nega associação com alteração do hábito intestinal.   Oriento início de IBP até resultado do anatomopatológico e retorno com gastroenterologista devido a intensidade dos sintomas atuais.",1,2
125,Descrição,Paciente não foi capaz de comparecer na segunda consulta médica apesar de diversas tentativas de agendamento de horário devido a conflitos com o horário de trabalho. Encaminhado segundo frasco ao posto de saúde e realizado atendimento através do telefone.,1,2
126,Descrição,"Paciente queixa que, logo após o início da sua participação, notou dificuldade na deglutição das cápsulas. Relata sensação de ausência de progressão das cápsulas em região retroesternal, com a sensação de entalo. Ainda, refere que sempre teve dificuldade com a ingestão de comprimidos. No entanto, a ingestão concomitante de água ajuda a aliviar os sintomas de desconforto. Nega outras queixas.   Após o esclarecimento do quadro, a conduta tomada foi orientar a paciente a fazer a ingestão das cápsulas junto ou após as principais refeições, com melhora do quadro.",1,2
127,Descrição,"Paciente relata diagnóstico há 2 anos de doença diverticular dos cólons, quando foi investigar dor abdominal em hipocôndrio esquerdo. Relata que desde a infância sempre teve quadro de constipação crônica. No entanto, nos últimos 2 anos relata que ocasionalmente apresenta quadro de diarreia, com episódios aproximadamente uma vez ao mês, com quadro que durava em torno de um a dois dias, com aproximadamente 5 episódios de diarreia líquida. A diarreia habitualmente apresenta muco, mas nega sangramento vivo ou restos alimentares. Nos eventos, relatava concomitantemente dor em hipocôndrio esquerdo, em cólica, em moderada intensidade, ao que se seguia diarreia.   Desde que havia entrado no estudo, não havia apresentado episódios de diarreia. No entanto, após o Natal, no dia 26/12, abriu quadro de diarreia líquida, em torno de 5 episódios ao dia, associada a urgência. Relata que no sexto dia, fez uso de imosec, com resolução do quadro diarreico. Relata que desde então, vem apresentando diarreia com o mesmo padrão, no entanto, intercalada com períodos de hábito intestinal regular. Os períodos de hábito intestinal regular tem durado em torno de 3-4 dias, intercalados com um dia de diarreia. O quadro do último mês de diarreia intercalada não se associou a febre, queda do estado geral, inapetência, náuseas, vômitos, ou outros sintomas. As outras pessoas com as quais convive não tiveram quadros diarreicos. Nega associação com a alimentação.  O quadro aberto no Natal se iniciou quando a participante já havia completado em torno de 65 dias do tratamento proposto nesta pesquisa, e relata que, até então, não havia apresentado qualquer alteração do hábito intestinal. Após o Natal, ficou em torno de 7 dias sem o medicamento do estudo, por cogitar que o quadro poderia estar associado ao tratamento. No entanto, retornou o uso do medicamento, e não queixou de recidiva do quadro diarreico.",1,2
128,Descrição,Paciente relata quadro de constipação intestinal iniciada no dia 01/01/2024.,1,2
129,Descrição,Paciente relata que aproximadamente há 6 semanas apresentou agudização do quadro de rinite crônica. Relata ainda que aproximadamente há 3 semanas o quadro agravou ainda mais. Queixa de obstipação nasal e voz anasalada.,1,2
130,Descrição,"Paciente relata que aproximadamente uma semana após o início da intervenção apresentou quadro de dor abdominal em cólicas associado a aumento da frequência evacuatória. No entanto, o volume fecal de cada episódio de evacuação era pequeno. Nega presença de sangue e restos alimentares nas fezes, no entanto, relata presença de pequena quantidade de muco. O quadro foi autolimitado, com melhora espontânea após 5 dias. Nega novos episódios desde então.",1,2
131,Descrição,"Paciente relata que há 10 dias tem acordado com queimação retroesternal. Após o café da manhã ingere as cápsulas do estudo. Relata que durante o período da manhã o sintoma vai melhorando gradualmente . Relata que após a mudança do tempo e a queda da temperatura, tem deitado imediatamente após o jantar, o que não ocorria habitualmente. Relata que desde a última gestação há 15 anos apresenta episódios recorrentes e intermitentes de azia, com resolução dos sintomas entre as crises.",1,2
132,Descrição,"Paciente relata que no dia 04/11/23 notou edema em tornozelos, mãos, olhos e rosto, progressivo, com ganho de 4 kg entre o dia 30/10 e 17/11, com posterior perda de 2,6 kg (SIC). Percebeu perda de definição dos maléolos, pálpebras pesadas e dificuldade no fechamento das mãos; calças que antes utilizava não estavam cabendo, além de dificuldade em dobrar os joelhos. No dia 17/11 passou em consulta de rotina com Dra Bianca que notou o edema e pediu exames - proteinúria de 24 horas (coletado ontem, ainda sem resultado). Nega eventos desencadeantes como quadros infecciosos. Nega em qualquer momento espumúria ou outras alterações urinárias. Nega qualquer sintoma associado. No dia 20 começou a notar melhora espontânea do quadro de edema. Relata resolução do quadro desde então.  Ao exame físico:  Bom estado geral, consciente e orientada em tempo e espaço, mucosas coradas, hidratadas, anictéricas e acianóticas. Ritmo cardíaco regular em 2 tempos, sem sopros audíveis. Murmúrio vesicular presente, sem ruídos adventícios. Abdome indolor a palpação, com RHA presentes. Pulsos periféricos cheios e simétricos. Ausência de edema ao exame clínico. Tempo de enchimento capilar < 3 segundos.",1,2
133,Descrição,"Paciente relata que no dia 17/09/2024 apresentou uma torção externa do pé direito, que resultou em ruptura parcial de um ligamento na face dorsal do pé direito. Relata ter ficado um mês em repouso, e agora está em curso de fisioterapia. Após um mês de repouso, foi reavaliada pelo ortopedista, passando por segunda ultrassonografia, sem indicação cirúrgica. Relata dor associada à fisioterapia.",1,2
134,Descrição,"Paciente relata ter apresentado quadro de dengue neste período. Iniciou quadro dia 03/01 com astenia, calafrios, insônia, cefaleia, mialgia. Devido a persistência dos sintomas, procurou atendimento médico no dia 07/01, tendo sido diagnosticada com dengue, com hemograma normal - SIC. Relata que neste dia foi realizado hidratação venosa e orientação de acompanhamento ambulatorial. No dia 09/01 os sintomas tiveram piora significativa, o que motivou nova visita ao hospital, tendo realizado novo hemograma, com plaquetopenia de 36.000 (SIC). Neste dia relata que a equipe gostaria de interná-la, no entanto, a internação não foi possível por motivo administrativo. Desta forma, foi orientada a fazer retornos diários ao pronto socorro para seguimento próximo. Na madrugada do dia 09, relata ter iniciado quadro de sangramento vaginal, com sangue vivo. No início, o volume era discreto, e foi aumentando progressivamente, tendo cessado no terceiro dia. Fazia uso de ACO (Qlaira), uso contínuo há 3 anos, e relata que 2 dias antes do sangramento havia interrompido o uso. No entanto, relata que, habitualmente, durante os períodos de pausa do ACO (2 dias mensalmente), não costumava apresentar sangramento menstrual. Na mesma madrugada do dia 09/01/24, relata que sentiu necessidade de evacuar, mas, quando foi ao banheiro, não apresentou eliminação fecal. No entanto, sentiu a exteriorização de algum conteúdo pelo ânus. Ao passar o papel, notou pequena quantidade de sangue vivo, sem coágulos. Aproximadamente uma hora após, voltou a ter sensação de necessidade evacuatória. Ao voltar no banheiro, evacuou pequena quantidade de fezes em cíbalos associado a pequena quantidade de sangue vivo no papel. Nega presença de sangramento misturado as fezes, bem como nega sangramento no vaso sanitário. Aproximadamente 40 minutos após, voltou ao banheiro para checar se havia ocorrido novo sangramento. Ao limpar com o papel, percebeu novamente sangue vivo em pequena quantidade. Realizou hemograma por conta própria durante a manhã, com plaquetas de 29.000. Durante o período da tarde, retornou ao hospital para nova avaliação programada, e relata que hemograma da tarde estava com plaquetas de 36.000, já em curva de melhora. Relata que os hemogramas diários nos dias subsequentes apresentaram elevação progressiva da contagem de plaquetas. Após o sangramento percebido na região anal na madrugada do dia 29/01, nega outros episódios de sangramento. Nega episódios de febre durante o adoecimento. Relata resolução do quadro aproximadamente dia 09 ou 10/01/24.   Devido ao quadro, a participante relata ter cessado o uso da intervenção do estudo no dia 03/01/24 e voltou a tomar no dia 15/01/24 (ficou 12 dias sem tomar). Nega sintomas após a reintrodução da intervenção.",1,2
135,Descrição,"Paciente relata ter percebido aparecimento de edema em membros inferiores, que paciente associa com menstruação, semelhante a episódios ocorridos no passado. Relata resolução espontânea do quadro após reintrodução do anticoncepcional e uso de transamin.",1,2
136,Descrição,"Paciente relata uso de DIU de cobre há 2 anos. Desde quando colocou o DIU, parou de menstruar. Logo após o início do estudo e o uso das cápsulas, começou a apresentar sangramento menstrual. Ao longo dos últimos 3 meses, vem apresentando sangramento menstrual em quantidade pequena, por 4-5 dias, e com ciclo regular.",1,2
137,Descrição,"Paciente relata visita ao pronto atendimento no início do mês passado devido a sintomas de ITU baixa: disúria e polaciúria. Nega febre ou sintomas constitucionais. Foi tratada com amoxicilina por 7 dias, com resolução dos sintomas.",1,2
138,Descrição,"Paciente tem histórico de EDA com gastrite e H pylori de 2023, tendo recebido tratamento padrão na ocasião. No entanto, persistia com desconforto abdominal persistente e queimação retroesternal. Passou por retorno no gastro, tendo repetido a EDA, que evidenciou gastrite além de bx positiva para H. pylori. Reiniciou tratamento para H. pylori com amoxi/claritro/prazol, iniciado na última quinta feira. No entanto, relata que após o início do estudo, percebeu redução da intensidade dos sintomas gastrointestinais.",1,2
139,Descrição,"Paciente trabalha com instalação de lavanderia industrial. Relata que no sábado passado dia 27/07/2024 passou por um acidente de trabalho. A escada na qual estava trabalhando escorregou, o que levou o paciente a apresentar uma compressão da face medial do braço esquerdo em uma placa vertical. Refer ter realizado USG do membro acidentado, que resultou em rompimento parcial de um tendão do braço esquerdo, próximo ao olécrano da ulna. Relata ainda que após a melhora do quadro álgico não houve restrição do movimento do braço ou outras sequelas. Em seguimento com especialista, realizando tratamento conservador.",1,2
140,Descrição,"Participante apresenta quadro crônico de migranêa desde os 15 anos de idade. Relata que antes do início do estudo, apresentava episódio de migrânea antes da menstruação que ocorria em torno de 2 dias ao mês. O quadro melhorava com sumatriptano + antiinflamatório. Relata que há aproximadamente um mês houve aumento da frequência do quadro de migrânea, que desde então tem ocorrido em torno de 3 dias por semana, de maneira intermitente. O quadro atual ainda responde ao sumatriptano. Ao ser questionada se o quadro álgico está causando repercussões negativas na sua qualidade de vida, ela nega. Nega outras queixas.",1,2
141,Descrição,"Participante iniciou uso da intervenção na quarta-feira dia 30/08. Entrou em contato no dia 02/09 (após 7 doses), relatando que no dia seguinte ao início da interverção (quinta feira), iniciou com cefaleia frontal bilateral e nucalgia, predominantemente a tarde, de forte intensidade (8/10), que recorreu na sexta feira a tarde e no sábado de manhã. A dor melhorou com dose única de analgésico simples. Relata que apresentava migrânea no passado, e a característica da dor era semelhante. No entanto, negava ocorrência de episódios migranosos no último ano.  Orientada a suspender o tratamento no sábado (já havia feito uso da dose da manhã) e retornar o uso na segunda feira. Entrado em contato novamente na data de hoje (04/09/23), negando cefaleia desde a suspensão. Irá reiniciar o tratamento hoje a noite (perdeu um total de 7 doses desde a interrupção)",1,2
142,Descrição,"Participante realiza trabalho manual consertando máquina de lavar roupa. Apresentou acidente de trabalho no sábado (dia 16/09) quando utilizada a maquita, resultando em lesão cortocontusa em mão esquerda, com necessidade de 6 pontos e uso de antibiótico profilático. Apresentou cicatrização completa da lesão, sem sequelas tardias ou limitação de mobilidade e funcionalidade do membro acometido.",1,2
143,Descrição,"Participante relata que 5 meses antes de ter iniciado a participação no estudo havia suspendido o uso do clonazepan e 2 meses antes havia suspendido a bupropiona, ambos por conta própria. Aproximadamente 1 semana após o início do estudo, realizou mudança alimentar radical, parando totalmente de tomar coca cola e outros refrigerantes (antes tomava na média 2 litros por dia). Aproximadamente uma semana após ter parado de tomar a coca cola, relata ter apresentando uma ""crise de ansiedade"" no trabalho - com palpitação, dispneia, boca seca e tremores. Como ela trabalha no hospital, o médico que estava de plantão orientou que ela retornasse com os medicamentos que havia suspendido por conta própria - bupropiona e clonazepan, tendo retornado o uso destes medicamentos no dia seguinte. Depois de ter retornado com os medicamentos, não teve mais ""crises de ansiedade""",1,2
144,Descrição,"Participante relata que apresentou quadro de síndrome gripal no início do mês de julho. Queixa de quadro de tosse que durou aproximadamente 2 semanas. Nos primeiros dias do quadro, relata que a tosse era secretiva, com expectoração de cor esverdeada. Relata sensação de febre, no entanto não aferida. Procurou pronto atendimento, tendo sido medicada com corticoide, lavagem nasal e xarope para tosse, com melhora progressiva do quadro.",1,2
145,Descrição,"Participante relata que após a primeira visita aumentou a ingestão de fibras, sem o respectivo aumento da ingestão de água. Queixa de dor abdominal em cólica, em mesogástro, intensidade 5/10, mais frequente quando acorda, associado a necessidade de evacuação. Relata que precisa de esforço médio para evacuar, sem alteração na consistência das fezes. Após a evacuação apresenta resolução completa da dor.",1,2
146,Descrição,"Participante relata que no dia 19/08 iniciou sintomas de dor em topografia de seios paranasais, cefaleia frontal, lombalgia, tosse produtiva, obstrução nasal, espirros e gotejamento pós-nasal. Fez uso de tylenol sinus plus de 4/4h por 3 dias. Relata resolução dos sintomas, à excessão da tosse.",1,2
147,Descrição,"Participante trabalha durante a noite de vigia, e não dorme a noite.   Relata que uma semana após o início da intervenção notou aumento da sonolência durante o dia, que durou em torno de 10 dias. Depois relata que voltou ao normal.",1,2
148,Descrição,"Queixou de boca seca que se iniciou em 17/09 e durou aproximadamente uma semana, com melhora espontânea.",1,2
149,Descrição,"Relata que 1 semana após início da intervenção, iniciou quadro de diarreia líquida, 2 ou 3 episódios ao dia, com restos alimentares na maior parte das vezes. Nega sangue ou muco. Os episódios ocorrem frequentemente após as grandes refeições. Relata neste período efetuou mudança radical no padrão alimentar, com aumento importante na ingestão de frutas e verduras. Outros co-habitantes (esposo e 2 filhos) não apresentam o mesmo quadro.",1,2
150,Descrição,"Relata que alguns dias após o início da intervenção, intermitente, apresentou quadro de cefaleia bitemporal, com dor latejante, intensidade 5/10, que durava o dia todo e melhorava com dipirona. Durou em torno de 7 dias.",1,2
151,Descrição,"Relata que há 43 dias procurou atendimento com GO devido a aumento da intensidade do sangramento menstrual. Relata histórico de aproximadamente 3 dias de sangramento por ciclo. No entanto, neste episódio, o sangramento perdurou por 10 dias, o que motivou visita ao GO. Foi diagnosticada com pólipo cervical, e aguarda abordagem cirúrgica.  Iniciou uso de Neovlar (levonorgestrel + etinilestradiol) para controle do fluxo.",1,2
152,Descrição,"Relata que na primeira semana do início do tratamento, apresentou quadro de aproximadamente uma semana de duração de 3 episódios ao dia de evacuações pastosas, sem cólica abdominal ou outros sintomas. Os sintomas melhoraram espontaneamente em aproximadamente 7 dias.",1,2
