variable,eleg_arm_1,V1,V2,V3,included,repeating_instrument,form_name_en
ecap_9_compensate,0,1,0,1,0,0,ecap
ecap_10_control,0,1,0,1,0,0,ecap
ecap_11_fullness,0,1,0,1,0,0,ecap
ecap_12_social_eating,0,1,0,1,0,0,ecap
ecap_13_meal_frequency,0,1,0,1,0,0,ecap
ecap_14_worry,0,1,0,1,0,0,ecap
ecap_15_food_thoughts,0,1,0,1,0,0,ecap
ecap_16_hunger_awareness,0,1,0,1,0,0,ecap
ecap_score,0,1,0,1,1,0,ecap
ecap_pdf_upload,0,1,0,1,0,0,ecap
ecap_complete,0,1,0,1,0,0,ecap
height,0,1,1,1,1,0,bodycount
height_checked_cm,0,1,1,1,0,0,bodycount
weight,0,1,1,1,1,0,bodycount
weight_checked_kg,0,1,1,1,0,0,bodycount
abdomen,0,1,1,1,1,0,bodycount
abdominal_circ_checked_cm,0,1,1,1,0,0,bodycount
arm,0,1,1,1,1,0,bodycount
arm_circ_checked_cm,0,1,1,1,0,0,bodycount
anthro_check_error,0,1,1,1,0,0,bodycount
anthro_check,0,1,1,1,0,0,bodycount
bmi,0,1,1,1,1,0,bodycount
weight_maxideal,0,1,1,1,1,0,bodycount
weight_adjusted,0,1,1,1,1,0,bodycount
kcal_kg20,0,1,1,1,1,0,bodycount
kcal_kg22,0,1,1,1,1,0,bodycount
diet_energy,0,1,1,1,1,0,bodycount
weight_loss_kg,0,1,1,1,1,0,bodycount
weight_loss_percent,0,1,1,1,1,0,bodycount
abdomen_loss_kg,0,1,1,1,1,0,bodycount
abdomen_loss_percent,0,1,1,1,1,0,bodycount
bmi_loss_absolute,0,1,1,1,1,0,bodycount
bmi_loss_percent,0,1,1,1,1,0,bodycount
antropometria_check,0,0,0,0,,0,bodycount
bodycount_complete,0,1,1,1,0,0,bodycount
bpbia_form_open_date,0,1,0,0,0,0,bp_limb
bpbia_examiner,0,1,0,0,0,0,bp_limb
bpbia_r_sw,0,1,0,0,0,0,bp_limb
cuff_size,0,1,0,0,0,0,bp_limb
reference_systolic_right,0,1,0,0,0,0,bp_limb
reference_diastolic_right,0,1,0,0,0,0,bp_limb
reference_mean_right,0,1,0,0,0,0,bp_limb
reference_systolic_left,0,1,0,0,0,0,bp_limb
reference_diastolic_left,0,1,0,0,0,0,bp_limb
reference_mean_left,0,1,0,0,0,0,bp_limb
reference_member,0,1,0,0,0,0,bp_limb
bp_limb_complete,0,1,0,0,0,0,bp_limb
bp_form_open_date,0,1,1,1,0,0,bp
bp_examiner,0,1,1,1,0,0,bp
bp_start_sw,0,1,1,1,0,0,bp
heart_rate,0,1,1,1,0,0,bp
oxigen_saturation,0,1,1,1,0,0,bp
systolic_1,0,1,1,1,0,0,bp
diastolic_1,0,1,1,1,0,0,bp
bp_mean_1,0,1,1,1,0,0,bp
bp_first_measurement_sw,0,1,1,1,0,0,bp
systolic_2,0,1,1,1,0,0,bp
bp_r21s_checked,0,1,1,1,0,0,bp
diastolic_2,0,1,1,1,0,0,bp
bp_r22d_checked,0,1,1,1,0,0,bp
bp_mean_2,0,1,1,1,0,0,bp
bp_second_measurement_sw,0,1,1,1,0,0,bp
systolic_3,0,1,1,1,0,0,bp
bp_r31s_checked,0,1,1,1,0,0,bp
diastolic_3,0,1,1,1,0,0,bp
bp_r32d_checked,0,1,1,1,0,0,bp
bp_mean_3,0,1,1,1,0,0,bp
bp_sys_diff,0,1,1,1,0,0,bp
bp_third_measurement_sw,0,1,1,1,0,0,bp
systolic_4,0,1,1,1,0,0,bp
bp_r41s_checked,0,1,1,1,0,0,bp
diastolic_4,0,1,1,1,0,0,bp
bp_r42d_checked,0,1,1,1,0,0,bp
bp_mean_4,0,1,1,1,0,0,bp
systolic_mean,0,1,1,1,1,0,bp
systolic_stdev,0,1,1,1,1,0,bp
diastolic_mean,0,1,1,1,1,0,bp
diastolic_stdev,0,1,1,1,1,0,bp
mean_bp_mean,0,1,1,1,1,0,bp
mean_bp_stdev,0,1,1,1,1,0,bp
bp_show_metadata,0,1,1,1,0,0,bp
bp_complete,0,1,1,1,0,0,bp
bia_raw_files,0,1,0,1,0,0,bia
bia_form_open_date,0,1,0,1,0,0,bia
bia_examiner,0,1,0,1,0,0,bia
smoked_24h,0,1,0,1,1,0,bia
exercised_24h,0,1,0,1,1,0,bia
alcohol_24h,0,1,0,1,1,0,bia
room_temperature,0,1,0,1,0,0,bia
axillary_temperature,0,1,0,1,0,0,bia
light_clothes,0,1,0,1,1,0,bia
removed_objects,0,1,0,1,0,0,bia
hairy_limbs,0,1,0,1,0,0,bia
removed_hair,0,1,0,1,0,0,bia
cleaned_skin,0,1,0,1,0,0,bia
last_meal_time,0,1,0,1,0,0,bia
last_liquid_time,0,1,0,1,0,0,bia
bed_rest_10min,0,1,0,1,0,0,bia
bia_timestamp,0,1,0,1,0,0,bia
time_fasted_food,0,1,0,1,1,0,bia
time_fasted_liquid,0,1,0,1,1,0,bia
resistance,0,1,0,1,1,0,bia
resistance_checked,0,1,0,1,0,0,bia
reactance,0,1,0,1,1,0,bia
reactance_checked,0,1,0,1,0,0,bia
phase_angle,0,1,0,1,1,0,bia
phase_angle_checked,0,1,0,1,0,0,bia
bia_show_metadata,0,1,0,1,0,0,bia
bia_complete,0,1,0,1,0,0,bia
grip_limitations_yn,0,1,0,1,0,0,handgrip
grip_rh_limitations,0,1,0,1,0,0,handgrip
grip_lh_no_limitations,0,1,0,1,0,0,handgrip
grip_lh_paralysis,0,1,0,1,0,0,handgrip
grip_lh_cast,0,1,0,1,0,0,handgrip
grip_lh_bandaged,0,1,0,1,0,0,handgrip
grip_lh_missing_thumb,0,1,0,1,0,0,handgrip
grip_lh_other_limitations,0,1,0,1,0,0,handgrip
grip_lh_no_info,0,1,0,1,0,0,handgrip
grip_lh_unknown,0,1,0,1,0,0,handgrip
grip_lh_notasked,0,1,0,1,0,0,handgrip
grip_lh_askunknown,0,1,0,1,0,0,handgrip
grip_lh_invalid,0,1,0,1,0,0,handgrip
grip_lh_na,0,1,0,1,0,0,handgrip
grip_recent_surgery_yn,0,1,0,1,0,0,handgrip
grip_exclude_test_yn,0,1,0,1,0,0,handgrip
grip_surgery_history_yn,0,1,0,1,0,0,handgrip
grip_dominance,0,1,0,1,0,0,handgrip
grip_pain_last7days_yn,0,1,0,1,0,0,handgrip
grip_rhpain,0,1,0,1,0,0,handgrip
grip_lhpain,0,1,0,1,0,0,handgrip
grip_test_procedure_understanding_yn,0,1,0,1,0,0,handgrip
handgrip_right_1,0,1,0,1,0,0,handgrip
grip_rh_validation1,0,1,0,1,0,0,handgrip
grip_rh_stopwatch1,0,1,0,1,0,0,handgrip
handgrip_left_1,0,1,0,1,0,0,handgrip
grip_lh_validation1,0,1,0,1,0,0,handgrip
grip_lh_stopwatch1,0,1,0,1,0,0,handgrip
handgrip_right_2,0,1,0,1,0,0,handgrip
grip_rh_validation2,0,1,0,1,0,0,handgrip
grip_rh_stopwatch2,0,1,0,1,0,0,handgrip
handgrip_left_2,0,1,0,1,0,0,handgrip
grip_lh_validation2,0,1,0,1,0,0,handgrip
grip_lh_stopwatch2,0,1,0,1,0,0,handgrip
handgrip_right_3,0,1,0,1,0,0,handgrip
grip_rh_validation3,0,1,0,1,0,0,handgrip
handgrip_left_3,0,1,0,1,0,0,handgrip
grip_lh_validation3,0,1,0,1,0,0,handgrip
handgrip_right_mean,0,1,0,1,1,0,handgrip
handgrip_right_stdev,0,1,0,1,1,0,handgrip
handgrip_left_mean,0,1,0,1,1,0,handgrip
handgrip_left_stdev,0,1,0,1,1,0,handgrip
grip_see_metadata,0,1,0,1,0,0,handgrip
handgrip_complete,0,1,0,1,0,0,handgrip
frequency_bowel,0,1,1,1,1,0,nutrition
frequency_solid_stool,0,1,1,1,1,0,nutrition
frequency_diarrhea,0,1,1,1,1,0,nutrition
contipation_yn,0,1,1,1,1,0,nutrition
frequency_laxative,0,1,1,1,1,0,nutrition
urinary_frequency,0,1,1,1,1,0,nutrition
water_consumption,0,1,1,1,1,0,nutrition
hair_loss,0,1,1,1,1,0,nutrition
nutrition_complete,0,1,1,1,0,0,nutrition
food_alergy,0,1,0,0,0,0,food allergy
peanut_allergy,0,1,0,0,0,0,food allergy
nut_allergy,0,1,0,0,0,0,food allergy
seafood_allergy,0,1,0,0,0,0,food allergy
egg_allergy,0,1,0,0,0,0,food allergy
lactose_intolerance,0,1,0,0,0,0,food allergy
gluten_intolerance,0,1,0,0,0,0,food allergy
soy_allergy,0,1,0,0,0,0,food allergy
fish_allergy,0,1,0,0,0,0,food allergy
allergy_complete,0,1,0,0,0,0,food allergy
evs_days,0,1,1,1,1,0,evs
evs_time,0,1,1,1,1,0,evs
evs_score,0,1,1,1,1,0,evs
exercise_type_1,0,1,1,1,0,0,evs
secondary_physical_activity_yn,0,1,1,1,0,0,evs
tertiary_physical_activity_yn,0,1,1,1,0,0,evs
evs_check,0,0,0,0,0,0,evs
evs_complete,0,1,1,1,0,0,evs
alcohol_frequency,0,1,0,1,1,0,alcohol use
alcohol_stopped_years_ago,0,1,0,1,0,0,alcohol use
years_drinks_alcohol,0,1,0,1,1,0,alcohol use
beer_yn,0,1,0,1,0,0,alcohol use
wine_yn,0,1,0,1,0,0,alcohol use
spirit_yn,0,1,0,1,0,0,alcohol use
alcohol_type_other,0,1,0,1,0,0,alcohol use
alcohol_type_no_info,0,1,0,1,0,0,alcohol use
alcohol_type_unknown,0,1,0,1,0,0,alcohol use
alcohol_type_not_asked,0,1,0,1,0,0,alcohol use
alcohol_type_asked_unknown,0,1,0,1,0,0,alcohol use
alcohol_type_invalid,0,1,0,1,0,0,alcohol use
alcohol_type_na,0,1,0,1,0,0,alcohol use
beer_per_week,0,1,0,1,0,0,alcohol use
beer_dose,0,1,0,1,0,0,alcohol use
wine_ml_per_week,0,1,0,1,0,0,alcohol use
wine_dose,0,1,0,1,0,0,alcohol use
distilled_ml_per_week,0,1,0,1,0,0,alcohol use
spirit_dose,0,1,0,1,0,0,alcohol use
alcohol_type_other_specify,0,1,0,1,0,0,alcohol use
alcohol_other_doses_per_week,0,1,0,1,0,0,alcohol use
alcohol_dose,0,1,0,1,1,0,alcohol use
alcohol_significant,0,1,0,1,1,0,alcohol use
alcohol_complete,0,1,0,1,0,0,alcohol use
smoke_history,0,1,0,1,1,0,tobacco
age_started_smoking,0,1,0,1,1,0,tobacco
smoked_years,0,1,0,1,1,0,tobacco
daily_cigarettes,0,1,0,1,1,0,tobacco
pack_years,0,1,0,1,1,0,tobacco
age_quit_smoking,0,1,0,1,1,0,tobacco
tobacco_complete,0,1,0,1,0,0,tobacco
time_1,0,1,0,1,0,0,diet_recall
time_2,0,1,0,1,0,0,diet_recall
time_3,0,1,0,1,0,0,diet_recall
time_4,0,1,0,1,0,0,diet_recall
time_5,0,1,0,1,0,0,diet_recall
time_6,0,1,0,1,0,0,diet_recall
food_1,0,1,0,1,0,0,diet_recall
food_2,0,1,0,1,0,0,diet_recall
food_3,0,1,0,1,0,0,diet_recall
food_4,0,1,0,1,0,0,diet_recall
food_5,0,1,0,1,0,0,diet_recall
food_6,0,1,0,1,0,0,diet_recall
observations_1,0,1,0,1,0,0,diet_recall
observations_2,0,1,0,1,0,0,diet_recall
observations_4,0,1,0,1,0,0,diet_recall
observations_3,0,1,0,1,0,0,diet_recall
observations_5,0,1,0,1,0,0,diet_recall
observations_6,0,1,0,1,0,0,diet_recall
pdf_upload_recordatorio,0,1,0,1,0,0,diet_recall
diet_recall_complete,0,1,0,1,0,0,diet_recall
meal_breakfast_yn,0,1,0,1,0,0,diet_recall
meal_morning_snack_yn,0,1,0,1,0,0,diet_recall
meal_lunch_yn,0,1,0,1,0,0,diet_recall
meal_afternoon_snack_yn,0,1,0,1,0,0,diet_recall
meal_dinner_yn,0,1,0,1,0,0,diet_recall
meal_supper_yn,0,1,0,1,0,0,diet_recall
meal_no_info,0,1,0,1,0,0,diet_recall
meal_unknown,0,1,0,1,0,0,diet_recall
meal_not_asked,0,1,0,1,0,0,diet_recall
meal_asked_unknown,0,1,0,1,0,0,diet_recall
meal_invalid,0,1,0,1,0,0,diet_recall
meal_na,0,1,0,1,0,0,diet_recall
total_energy,0,1,0,1,1,0,diet_values
carbs_grams,0,1,0,1,0,0,diet_values
carbs_kcal,0,1,0,1,1,0,diet_values
protein_kcal,0,1,0,1,1,0,diet_values
fat_kcal,0,1,0,1,1,0,diet_values
protein_grams,0,1,0,1,0,0,diet_values
fat_grams,0,1,0,1,0,0,diet_values
carbs_morning_g,0,1,0,1,0,0,diet_values
protein_morning_g,0,1,0,1,0,0,diet_values
fat_morning_g,0,1,0,1,0,0,diet_values
fat_morning_snack_g,0,1,0,1,0,0,diet_values
carbs_morning_snack_g,0,1,0,1,0,0,diet_values
protein_morning_snack_g,0,1,0,1,0,0,diet_values
carbs_lunch_g,0,1,0,1,0,0,diet_values
fat_lunch_g,0,1,0,1,0,0,diet_values
protein_lunch_g,0,1,0,1,0,0,diet_values
carbs_afternoon_snack_g,0,1,0,1,0,0,diet_values
fat_afternoon_snack_g,0,1,0,1,0,0,diet_values
protein_afternoon_snack_g,0,1,0,1,0,0,diet_values
fat_dinner_g,0,1,0,1,0,0,diet_values
protein_dinner_g,0,1,0,1,0,0,diet_values
carbs_dinner_g,0,1,0,1,0,0,diet_values
carbs_night_snack_g,0,1,0,1,0,0,diet_values
fat_night_snack_g,0,1,0,1,0,0,diet_values
protein_night_snack_g,0,1,0,1,0,0,diet_values
carbs_cal_morning,0,1,0,1,0,0,diet_values
protein_cal_morning,0,1,0,1,0,0,diet_values
fat_cal_morning,0,1,0,1,0,0,diet_values
total_cal_morning,0,1,0,1,0,0,diet_values
carbs_cal_morning_snack,0,1,0,1,0,0,diet_values
fat_cal_morning_snack,0,1,0,1,0,0,diet_values
protein_cal_morning_snack,0,1,0,1,0,0,diet_values
total_cal_morning_snack,0,1,0,1,0,0,diet_values
total_cal_lunch,0,1,0,1,0,0,diet_values
carbs_cal_lunch,0,1,0,1,0,0,diet_values
fat_cal_lunch,0,1,0,1,0,0,diet_values
protein_cal_lunch,0,1,0,1,0,0,diet_values
carbs_cal_afternoon_snack,0,1,0,1,0,0,diet_values
fat_cal_afternoon_snack,0,1,0,1,0,0,diet_values
protein_cal_afternoon_snack,0,1,0,1,0,0,diet_values
total_cal_afternoon_snack,0,1,0,1,0,0,diet_values
carbs_cal_dinner,0,1,0,1,0,0,diet_values
protein_cal_dinner,0,1,0,1,0,0,diet_values
fat_cal_dinner,0,1,0,1,0,0,diet_values
total_cal_dinner,0,1,0,1,0,0,diet_values
carbs_cal_night_snack,0,1,0,1,0,0,diet_values
protein_cal_night_snack,0,1,0,1,0,0,diet_values
fat_cal_night_snack,0,1,0,1,0,0,diet_values
total_cal_night_snack,0,1,0,1,0,0,diet_values
nutr_pdf_upload,0,1,0,1,0,0,diet_values
diet_check,0,0,0,0,,0,diet_values
diet_values_complete,0,1,0,1,0,0,diet_values
intervention_capsule_start_yn,1,0,0,0,0,0,dates
visit1_schedule_date,1,0,0,0,0,0,dates
weekly_alert_remove_yn,1,0,0,0,0,0,dates
intervention_start_date,1,0,0,0,0,0,dates
date_45d_complete,1,0,0,0,0,0,dates
visit2_schedule_date,1,0,0,0,0,0,dates
date_90d_complete,1,0,0,0,0,0,dates
visit3_schedule_date,1,0,0,0,0,0,dates
important_dates_link_hidden,1,0,0,0,0,0,dates
dates_complete,1,0,0,0,0,0,dates
participant_id,1,0,0,0,0,0,allocation
allocation_group,1,0,0,0,1,0,allocation
allocation_complete,1,0,0,0,0,0,allocation
comorbidity_yn,1,0,0,0,1,1,conditions
comorbidity_additional,1,0,0,0,0,1,conditions
common_comorbidities,1,0,0,0,0,1,conditions
comorbidities_diagnosis_duration,1,0,0,0,0,1,conditions
comorbidities_diagnosis_duration_unit,1,0,0,0,0,1,conditions
comorbidities_listed_concat,1,0,0,0,0,1,conditions
comorbidities_metadata,1,0,0,0,0,1,conditions
conditions_complete,1,0,0,0,0,1,conditions
medication_current_yn,1,0,0,0,1,1,drugs
medication_additional,1,0,0,0,0,1,drugs
common_medications,1,0,0,0,0,1,drugs
medication_dosage,1,0,0,0,0,1,drugs
drug_duration_use,1,0,0,0,0,1,drugs
drug_duration_use_unit,1,0,0,0,0,1,drugs
drug_units_per_dose,1,0,0,0,0,1,drugs
drug_dosage_units,1,0,0,0,0,1,drugs
medication_list_concat,1,0,0,0,0,1,drugs
other_medication_use_yn,1,0,0,0,0,1,drugs
medications_metadata,1,0,0,0,0,1,drugs
drugs_complete,1,0,0,0,0,1,drugs
previous_medication_yn,1,0,0,0,0,1,old.drugs
previous_medication_additional,1,0,0,0,0,1,old.drugs
common_previous_medications,1,0,0,0,0,1,old.drugs
previous_drug_start_info,1,0,0,0,0,1,old.drugs
previous_drug_start_duration,1,0,0,0,0,1,old.drugs
previous_drug_start_duration_unit,1,0,0,0,0,1,old.drugs
previous_drug_stop_info,1,0,0,0,0,1,old.drugs
previous_drug_stop_duration,1,0,0,0,0,1,old.drugs
previous_drug_stop_duration_unit,1,0,0,0,0,1,old.drugs
previous_medications_listed_concat,1,0,0,0,0,1,old.drugs
other_medications,1,0,0,0,0,1,old.drugs
old.drugs_complete,1,0,0,0,0,1,old.drugs
medical_history_yn,1,0,0,0,0,1,old.conditions
medical_history_additional,1,0,0,0,0,1,old.conditions
common_medical_history,1,0,0,0,0,1,old.conditions
personal_medical_history,1,0,0,0,0,1,old.conditions
personal_medical_history_notes,1,0,0,0,0,1,old.conditions
medical_history_duration,1,0,0,0,0,1,old.conditions
medical_history_duration_unit,1,0,0,0,0,1,old.conditions
medical_history_listed_concat,1,0,0,0,0,1,old.conditions
old.conditions_complete,1,0,0,0,0,1,old.conditions
symptoms_yn,0,1,1,1,0,1,symptoms
symptoms_additional,0,1,1,1,0,1,symptoms
symptom_instance_number,0,1,1,1,0,1,symptoms
symptom_code,0,1,1,1,0,1,symptoms
symptom_specify,0,1,1,1,0,1,symptoms
symptom_note,0,1,1,1,0,1,symptoms
symptom_onset,0,1,1,1,0,1,symptoms
symptom_onset_code,0,1,1,1,0,1,symptoms
symptom_onset_unit,0,1,1,1,0,1,symptoms
symptom_severity,0,1,1,1,0,1,symptoms
symptom_severity_scale,0,1,1,1,0,1,symptoms
symptom_current,0,1,1,1,0,1,symptoms
symptom_current_or_resolved,0,1,1,1,0,1,symptoms
symptom_resolution_date,0,1,1,1,0,1,symptoms
symptom_resolution_duration_unit,0,1,1,1,0,1,symptoms
